Linux 6.5.0-44-generic (npc2408016) 	06/17/2025 	_x86_64_	(22 CPU)

10:40:31 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:32 AM  1000     23189    6.00    0.00    0.00    0.00    6.00     6  talker
10:40:32 AM  1000     23191    6.00    1.00    0.00    0.00    7.00     8  talker
10:40:32 AM  1000     23193    4.00    2.00    0.00    0.00    6.00     2  talker
10:40:32 AM  1000     23195    4.00    2.00    0.00    0.00    6.00     6  talker
10:40:32 AM  1000     23197    5.00    2.00    0.00    0.00    7.00     0  talker
10:40:32 AM  1000     23199    3.00    3.00    0.00    0.00    6.00     3  talker
10:40:32 AM  1000     23201    4.00    2.00    0.00    0.00    6.00    10  talker
10:40:32 AM  1000     23203    3.00    3.00    0.00    0.00    6.00    14  talker
10:40:32 AM  1000     23205    0.00    7.00    0.00    0.00    7.00    14  talker
10:40:32 AM  1000     23207    3.00    2.00    0.00    0.00    5.00    12  talker
10:40:32 AM  1000     23209    2.00    4.00    0.00    0.00    6.00     8  talker
10:40:32 AM  1000     23211    6.00    0.00    0.00    0.00    6.00    12  talker

10:40:32 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:33 AM  1000     23189    2.00    3.00    0.00    0.00    5.00     8  talker
10:40:33 AM  1000     23191    4.00    3.00    0.00    0.00    7.00     0  talker
10:40:33 AM  1000     23193    3.00    2.00    0.00    0.00    5.00     6  talker
10:40:33 AM  1000     23195    5.00    3.00    0.00    0.00    8.00     1  talker
10:40:33 AM  1000     23197    4.00    3.00    0.00    0.00    7.00     5  talker
10:40:33 AM  1000     23199    4.00    1.00    0.00    0.00    5.00    12  talker
10:40:33 AM  1000     23201    4.00    3.00    0.00    0.00    7.00     1  talker
10:40:33 AM  1000     23203    4.00    2.00    0.00    0.00    6.00     5  talker
10:40:33 AM  1000     23205    0.00    7.00    0.00    0.00    7.00    12  talker
10:40:33 AM  1000     23207    4.00    3.00    0.00    0.00    7.00    17  talker
10:40:33 AM  1000     23209    3.00    4.00    0.00    0.00    7.00     9  talker
10:40:33 AM  1000     23211    6.00    0.00    0.00    0.00    6.00     2  talker

10:40:33 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:34 AM  1000     23189    3.00    2.00    0.00    0.00    5.00     8  talker
10:40:34 AM  1000     23191    3.00    4.00    0.00    0.00    7.00    10  talker
10:40:34 AM  1000     23193    3.00    3.00    0.00    0.00    6.00     2  talker
10:40:34 AM  1000     23195    4.00    3.00    0.00    0.00    7.00     7  talker
10:40:34 AM  1000     23197    5.00    2.00    0.00    0.00    7.00    14  talker
10:40:34 AM  1000     23199    0.00    5.00    0.00    0.00    5.00    15  talker
10:40:34 AM  1000     23201    6.00    0.00    0.00    0.00    6.00     2  talker
10:40:34 AM  1000     23203    4.00    3.00    0.00    0.00    7.00    12  talker
10:40:34 AM  1000     23205    5.00    2.00    0.00    0.00    7.00    11  talker
10:40:34 AM  1000     23207    4.00    1.00    0.00    0.00    5.00    15  talker
10:40:34 AM  1000     23209    1.00    5.00    0.00    0.00    6.00     6  talker
10:40:34 AM  1000     23211    6.00    0.00    0.00    0.00    6.00     4  talker

10:40:34 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:35 AM  1000     23189    3.00    3.00    0.00    0.00    6.00     1  talker
10:40:35 AM  1000     23191    4.00    3.00    0.00    0.00    7.00    13  talker
10:40:35 AM  1000     23193    3.00    2.00    0.00    0.00    5.00    16  talker
10:40:35 AM  1000     23195    3.00    3.00    0.00    0.00    6.00    15  talker
10:40:35 AM  1000     23197    4.00    2.00    0.00    0.00    6.00     4  talker
10:40:35 AM  1000     23199    2.00    4.00    0.00    0.00    6.00     1  talker
10:40:35 AM  1000     23201    6.00    0.00    0.00    0.00    6.00    20  talker
10:40:35 AM  1000     23203    4.00    2.00    0.00    0.00    6.00    16  talker
10:40:35 AM  1000     23205    2.00    6.00    0.00    0.00    8.00    11  talker
10:40:35 AM  1000     23207    4.00    2.00    0.00    0.00    6.00     7  talker
10:40:35 AM  1000     23209    3.00    2.00    0.00    0.00    5.00     3  talker
10:40:35 AM  1000     23211    5.00    0.00    0.00    0.00    5.00    11  talker

10:40:35 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:36 AM  1000     23189    2.00    2.00    0.00    0.00    4.00     8  talker
10:40:36 AM  1000     23191    2.00    5.00    0.00    0.00    7.00     5  talker
10:40:36 AM  1000     23193    3.00    2.00    0.00    0.00    5.00    19  talker
10:40:36 AM  1000     23195    5.00    2.00    0.00    0.00    7.00    12  talker
10:40:36 AM  1000     23197    5.00    3.00    0.00    0.00    8.00    12  talker
10:40:36 AM  1000     23199    2.00    4.00    0.00    0.00    6.00     8  talker
10:40:36 AM  1000     23201    4.00    3.00    0.00    0.00    7.00     2  talker
10:40:36 AM  1000     23203    4.00    3.00    0.00    0.00    7.00    15  talker
10:40:36 AM  1000     23205    5.00    2.00    0.00    0.00    7.00    10  talker
10:40:36 AM  1000     23207    4.00    3.00    0.00    0.00    7.00     2  talker
10:40:36 AM  1000     23209    5.00    2.00    0.00    0.00    7.00     6  talker
10:40:36 AM  1000     23211    6.00    0.00    0.00    0.00    6.00     9  talker

10:40:36 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:37 AM  1000     23189    2.00    4.00    0.00    0.00    6.00    19  talker
10:40:37 AM  1000     23191    3.00    3.00    0.00    0.00    6.00     8  talker
10:40:37 AM  1000     23193    3.00    2.00    0.00    0.00    5.00    12  talker
10:40:37 AM  1000     23195    3.00    4.00    0.00    0.00    7.00     4  talker
10:40:37 AM  1000     23197    5.00    2.00    0.00    0.00    7.00    12  talker
10:40:37 AM  1000     23199    2.00    3.00    0.00    0.00    5.00     8  talker
10:40:37 AM  1000     23201    4.00    2.00    0.00    0.00    6.00     3  talker
10:40:37 AM  1000     23203    4.00    2.00    0.00    0.00    6.00     8  talker
10:40:37 AM  1000     23205    0.00    7.00    0.00    0.00    7.00    10  talker
10:40:37 AM  1000     23207    4.00    2.00    0.00    0.00    6.00     1  talker
10:40:37 AM  1000     23209    3.00    3.00    0.00    0.00    6.00    12  talker
10:40:37 AM  1000     23211    6.00    0.00    0.00    0.00    6.00     5  talker

10:40:37 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:38 AM  1000     23189    1.00    4.00    0.00    0.00    5.00     9  talker
10:40:38 AM  1000     23191    5.00    2.00    0.00    0.00    7.00    17  talker
10:40:38 AM  1000     23193    4.00    2.00    0.00    0.00    6.00     9  talker
10:40:38 AM  1000     23195    4.00    2.00    0.00    0.00    6.00     0  talker
10:40:38 AM  1000     23197    5.00    2.00    0.00    0.00    7.00     0  talker
10:40:38 AM  1000     23199    2.00    4.00    0.00    0.00    6.00     3  talker
10:40:38 AM  1000     23201    4.00    3.00    0.00    0.00    7.00     1  talker
10:40:38 AM  1000     23203    4.00    2.00    0.00    0.00    6.00     1  talker
10:40:38 AM  1000     23205    2.00    5.00    0.00    0.00    7.00     6  talker
10:40:38 AM  1000     23207    4.00    2.00    0.00    0.00    6.00    12  talker
10:40:38 AM  1000     23209    3.00    3.00    0.00    0.00    6.00    10  talker
10:40:38 AM  1000     23211    6.00    0.00    0.00    0.00    6.00    15  talker

10:40:38 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:39 AM  1000     23189    4.00    2.00    0.00    0.00    6.00    16  talker
10:40:39 AM  1000     23191    1.00    7.00    0.00    0.00    8.00     9  talker
10:40:39 AM  1000     23193    3.00    2.00    0.00    0.00    5.00     4  talker
10:40:39 AM  1000     23195    3.00    3.00    0.00    0.00    6.00    14  talker
10:40:39 AM  1000     23197    5.00    1.00    0.00    0.00    6.00     0  talker
10:40:39 AM  1000     23199    2.00    4.00    0.00    0.00    6.00     0  talker
10:40:39 AM  1000     23201    5.00    1.00    0.00    0.00    6.00    13  talker
10:40:39 AM  1000     23203    5.00    2.00    0.00    0.00    7.00     7  talker
10:40:39 AM  1000     23205    3.00    4.00    0.00    0.00    7.00    13  talker
10:40:39 AM  1000     23207    4.00    2.00    0.00    0.00    6.00    18  talker
10:40:39 AM  1000     23209    3.00    4.00    0.00    0.00    7.00    12  talker
10:40:39 AM  1000     23211    5.00    0.00    0.00    0.00    5.00    13  talker

10:40:39 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:40 AM  1000     23189    3.00    2.00    0.00    0.00    5.00     3  talker
10:40:40 AM  1000     23191    2.00    5.00    0.00    0.00    7.00     6  talker
10:40:40 AM  1000     23193    3.00    2.00    0.00    0.00    5.00    10  talker
10:40:40 AM  1000     23195    4.00    3.00    0.00    0.00    7.00    14  talker
10:40:40 AM  1000     23197    6.00    1.00    0.00    0.00    7.00    16  talker
10:40:40 AM  1000     23199    4.00    2.00    0.00    0.00    6.00     4  talker
10:40:40 AM  1000     23201    5.00    2.00    0.00    0.00    7.00     9  talker
10:40:40 AM  1000     23203    4.00    3.00    0.00    0.00    7.00    13  talker
10:40:40 AM  1000     23205    5.00    2.00    0.00    0.00    7.00    12  talker
10:40:40 AM  1000     23207    3.00    2.00    0.00    0.00    5.00    14  talker
10:40:40 AM  1000     23209    6.00    0.00    0.00    0.00    6.00    11  talker
10:40:40 AM  1000     23211    6.00    0.00    0.00    0.00    6.00     4  talker

10:40:40 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:41 AM  1000     23189    3.00    3.00    0.00    0.00    6.00    18  talker
10:40:41 AM  1000     23191    3.00    3.00    0.00    0.00    6.00    15  talker
10:40:41 AM  1000     23193    3.00    2.00    0.00    0.00    5.00    15  talker
10:40:41 AM  1000     23195    4.00    2.00    0.00    0.00    6.00     1  talker
10:40:41 AM  1000     23197    6.00    1.00    0.00    0.00    7.00     0  talker
10:40:41 AM  1000     23199    0.00    5.00    0.00    0.00    5.00     9  talker
10:40:41 AM  1000     23201    5.00    0.00    0.00    0.00    5.00     9  talker
10:40:41 AM  1000     23203    4.00    2.00    0.00    0.00    6.00     4  talker
10:40:41 AM  1000     23205    5.00    2.00    0.00    0.00    7.00     6  talker
10:40:41 AM  1000     23207    4.00    3.00    0.00    0.00    7.00    12  talker
10:40:41 AM  1000     23209    3.00    2.00    0.00    0.00    5.00    11  talker
10:40:41 AM  1000     23211    6.00    0.00    0.00    0.00    6.00     5  talker

10:40:41 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:42 AM  1000     23189    1.00    4.00    0.00    0.00    5.00    13  talker
10:40:42 AM  1000     23191    1.00    7.00    0.00    0.00    8.00    10  talker
10:40:42 AM  1000     23193    3.00    2.00    0.00    0.00    5.00     6  talker
10:40:42 AM  1000     23195    4.00    3.00    0.00    0.00    7.00     1  talker
10:40:42 AM  1000     23197    6.00    1.00    0.00    0.00    7.00     1  talker
10:40:42 AM  1000     23199    4.00    2.00    0.00    0.00    6.00     2  talker
10:40:42 AM  1000     23201    6.00    1.00    0.00    0.00    7.00     6  talker
10:40:42 AM  1000     23203    4.00    2.00    0.00    0.00    6.00    16  talker
10:40:42 AM  1000     23205    1.00    7.00    0.00    0.00    8.00     2  talker
10:40:42 AM  1000     23207    4.00    2.00    0.00    0.00    6.00     9  talker
10:40:42 AM  1000     23209    5.00    2.00    0.00    0.00    7.00     6  talker
10:40:42 AM  1000     23211    6.00    0.00    0.00    0.00    6.00    14  talker

10:40:42 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:43 AM  1000     23189    3.00    2.00    0.00    0.00    5.00     6  talker
10:40:43 AM  1000     23191    0.00    6.00    0.00    0.00    6.00     1  talker
10:40:43 AM  1000     23193    4.00    2.00    0.00    0.00    6.00    14  talker
10:40:43 AM  1000     23195    4.00    2.00    0.00    0.00    6.00     3  talker
10:40:43 AM  1000     23197    7.00    0.00    0.00    0.00    7.00     4  talker
10:40:43 AM  1000     23199    2.00    4.00    0.00    0.00    6.00     9  talker
10:40:43 AM  1000     23201    4.00    3.00    0.00    0.00    7.00    12  talker
10:40:43 AM  1000     23203    4.00    2.00    0.00    0.00    6.00    17  talker
10:40:43 AM  1000     23205    7.00    0.00    0.00    0.00    7.00     3  talker
10:40:43 AM  1000     23207    4.00    2.00    0.00    0.00    6.00    12  talker
10:40:43 AM  1000     23209    2.00    4.00    0.00    0.00    6.00    12  talker
10:40:43 AM  1000     23211    6.00    0.00    0.00    0.00    6.00     9  talker

10:40:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:40:44 AM  1000     23189    3.00    3.00    0.00    0.00    6.00     3  talker
10:40:44 AM  1000     23191    2.00    5.00    0.00    0.00    7.00    17  talker
10:40:44 AM  1000     23193    3.00    2.00    0.00    0.00    5.00    11  talker
10:40:44 AM  1000     23195    4.00    2.00    0.00    0.00    6.00    17  talker
10:40:44 AM  1000     23197    7.00    0.00    0.00    0.00    7.00     0  talker
10:40:44 AM  1000     23199    1.00    4.00    0.00    0.00    5.00     6  talker
