Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

10:11:52 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:11:53 AM  1000     17323   14.00   27.00    0.00    0.00   41.00     5  listener
10:11:54 AM  1000     17323   13.00   28.00    0.00    0.00   41.00     2  listener
10:11:55 AM  1000     17323   11.00   34.00    0.00    0.00   45.00     2  listener
10:11:56 AM  1000     17323   12.00   30.00    0.00    0.00   42.00     5  listener
10:11:57 AM  1000     17323   12.00   30.00    0.00    0.00   42.00     8  listener
10:11:58 AM  1000     17323   13.00   27.00    0.00    0.00   40.00     5  listener
10:11:59 AM  1000     17323   13.00   28.00    0.00    0.00   41.00     5  listener
10:12:00 AM  1000     17323   12.00   28.00    0.00    0.00   40.00     5  listener
10:12:01 AM  1000     17323   16.00   26.00    0.00    0.00   42.00     8  listener
10:12:02 AM  1000     17323   10.00   31.00    0.00    0.00   41.00     8  listener
10:12:03 AM  1000     17323   15.00   27.00    0.00    0.00   42.00     8  listener
10:12:04 AM  1000     17323   12.00   29.00    0.00    0.00   41.00     8  listener
10:12:05 AM  1000     17323   13.00   29.00    0.00    0.00   42.00     5  listener
10:12:06 AM  1000     17323   11.00   30.00    0.00    0.00   41.00     5  listener
10:12:07 AM  1000     17323   10.00   32.00    0.00    0.00   42.00     6  listener
10:12:08 AM  1000     17323   14.00   29.00    0.00    0.00   43.00     5  listener
10:12:09 AM  1000     17323   10.00   33.00    0.00    0.00   43.00     5  listener
10:12:10 AM  1000     17323   13.00   30.00    0.00    0.00   43.00     5  listener
10:12:11 AM  1000     17323   11.00   33.00    0.00    0.00   44.00    10  listener
10:12:12 AM  1000     17323   11.00   30.00    0.00    0.00   41.00    10  listener
10:12:13 AM  1000     17323   13.00   29.00    0.00    0.00   42.00    13  listener
10:12:14 AM  1000     17323   11.00   32.00    0.00    0.00   43.00    10  listener
10:12:15 AM  1000     17323   15.00   28.00    0.00    0.00   43.00    10  listener
10:12:16 AM  1000     17323   14.00   29.00    0.00    0.00   43.00    10  listener
10:12:17 AM  1000     17323   12.00   33.00    0.00    0.00   45.00    14  listener
10:12:18 AM  1000     17323   12.00   31.00    0.00    0.00   43.00    14  listener
10:12:19 AM  1000     17323   14.00   27.00    0.00    0.00   41.00    10  listener
10:12:20 AM  1000     17323   12.00   30.00    0.00    0.00   42.00    10  listener
10:12:21 AM  1000     17323   11.00   31.00    0.00    0.00   42.00    11  listener
10:12:22 AM  1000     17323   12.00   30.00    0.00    0.00   42.00    11  listener
10:12:23 AM  1000     17323   11.00   32.00    0.00    0.00   43.00    11  listener
10:12:24 AM  1000     17323   12.00   35.00    0.00    0.00   47.00    11  listener
10:12:25 AM  1000     17323   11.00   30.00    0.00    0.00   41.00    11  listener
10:12:26 AM  1000     17323   11.00   34.00    0.00    0.00   45.00    13  listener
10:12:27 AM  1000     17323    8.00   34.00    0.00    0.00   42.00    11  listener
10:12:28 AM  1000     17323    5.00   36.00    0.00    0.00   41.00    11  listener
10:12:29 AM  1000     17323    8.00   34.00    0.00    0.00   42.00    11  listener
10:12:30 AM  1000     17323    8.00   34.00    0.00    0.00   42.00    11  listener
10:12:31 AM  1000     17323    7.00   33.00    0.00    0.00   40.00    12  listener
10:12:32 AM  1000     17323   10.00   30.00    0.00    0.00   40.00    11  listener
10:12:33 AM  1000     17323    9.00   32.00    0.00    0.00   41.00    11  listener
10:12:34 AM  1000     17323    9.00   33.00    0.00    0.00   42.00    12  listener
10:12:35 AM  1000     17323    8.00   35.00    0.00    0.00   43.00    12  listener
10:12:36 AM  1000     17323    9.00   31.00    0.00    0.00   40.00    12  listener
10:12:37 AM  1000     17323    8.00   33.00    0.00    0.00   41.00    17  listener
10:12:38 AM  1000     17323   13.00   28.00    0.00    0.00   41.00    17  listener
10:12:39 AM  1000     17323   12.00   30.00    0.00    0.00   42.00    17  listener
10:12:40 AM  1000     17323    9.00   32.00    0.00    0.00   41.00    12  listener
10:12:41 AM  1000     17323   10.00   32.00    0.00    0.00   42.00    17  listener
10:12:42 AM  1000     17323   10.00   31.00    0.00    0.00   41.00    17  listener
10:12:43 AM  1000     17323   11.00   33.00    0.00    0.00   44.00    12  listener
10:12:44 AM  1000     17323   11.00   32.00    0.00    0.00   43.00    12  listener
10:12:45 AM  1000     17323   10.00   34.00    0.00    0.00   44.00    12  listener
10:12:46 AM  1000     17323   11.00   32.00    0.00    0.00   43.00    12  listener
10:12:47 AM  1000     17323   12.00   30.00    0.00    0.00   42.00    17  listener
10:12:48 AM  1000     17323   12.00   30.00    0.00    0.00   42.00    12  listener
10:12:49 AM  1000     17323   10.00   32.00    0.00    0.00   42.00    12  listener
10:12:50 AM  1000     17323   10.00   32.00    0.00    0.00   42.00    12  listener
10:12:51 AM  1000     17323   12.00   32.00    0.00    0.00   44.00    19  listener
10:12:52 AM  1000     17323   10.00   29.00    0.00    0.00   39.00    19  listener
Average:     1000     17323   11.15   30.93    0.00    0.00   42.08     -  listener
