Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

09:49:14 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:49:15 AM  1000     15727    6.00   10.00    0.00    0.00   16.00    16  talker
09:49:16 AM  1000     15727    2.00   14.00    0.00    0.00   16.00     6  talker
09:49:17 AM  1000     15727    6.00   11.00    0.00    0.00   17.00    15  talker
09:49:18 AM  1000     15727    8.00    8.00    0.00    0.00   16.00     6  talker
09:49:19 AM  1000     15727   12.00    5.00    0.00    0.00   17.00     8  talker
09:49:20 AM  1000     15727    3.00   13.00    0.00    0.00   16.00    10  talker
09:49:21 AM  1000     15727    6.00   11.00    0.00    0.00   17.00    16  talker
09:49:22 AM  1000     15727   12.00    4.00    0.00    0.00   16.00     1  talker
09:49:23 AM  1000     15727    6.00   11.00    0.00    0.00   17.00    15  talker
09:49:24 AM  1000     15727    6.00   10.00    0.00    0.00   16.00    16  talker
09:49:25 AM  1000     15727    3.00   14.00    0.00    0.00   17.00     8  talker
09:49:26 AM  1000     15727    8.00   10.00    0.00    0.00   18.00    15  talker
09:49:27 AM  1000     15727    2.00   13.00    0.00    0.00   15.00     8  talker
09:49:28 AM  1000     15727   12.00    5.00    0.00    0.00   17.00    17  talker
09:49:29 AM  1000     15727    7.00   10.00    0.00    0.00   17.00    12  talker
09:49:30 AM  1000     15727    8.00    8.00    0.00    0.00   16.00    13  talker
09:49:31 AM  1000     15727    3.00   14.00    0.00    0.00   17.00    16  talker
09:49:32 AM  1000     15727    0.00   17.00    0.00    0.00   17.00     6  talker
09:49:33 AM  1000     15727    0.00   16.00    0.00    0.00   16.00     7  talker
09:49:34 AM  1000     15727    4.00   13.00    0.00    0.00   17.00    12  talker
09:49:35 AM  1000     15727    3.00   13.00    0.00    0.00   16.00    13  talker
09:49:36 AM  1000     15727    6.00   11.00    0.00    0.00   17.00    13  talker
09:49:37 AM  1000     15727   12.00    4.00    0.00    0.00   16.00    14  talker
09:49:38 AM  1000     15727    0.00   17.00    0.00    0.00   17.00     3  talker
09:49:39 AM  1000     15727    0.00   16.00    0.00    0.00   16.00     7  talker
09:49:40 AM  1000     15727    0.00   16.00    0.00    0.00   16.00    17  talker
09:49:41 AM  1000     15727   16.00    0.00    0.00    0.00   16.00     0  talker
09:49:42 AM  1000     15727    7.00    9.00    0.00    0.00   16.00     6  talker
09:49:43 AM  1000     15727   11.00    5.00    0.00    0.00   16.00    10  talker
09:49:44 AM  1000     15727   16.00    0.00    0.00    0.00   16.00    18  talker
09:49:45 AM  1000     15727   14.00    2.00    0.00    0.00   16.00     6  talker
09:49:46 AM  1000     15727   11.00    5.00    0.00    0.00   16.00    10  talker
09:49:47 AM  1000     15727   14.00    3.00    0.00    0.00   17.00     2  talker
09:49:48 AM  1000     15727   17.00    0.00    0.00    0.00   17.00    12  talker
09:49:49 AM  1000     15727    5.00   12.00    0.00    0.00   17.00    14  talker
09:49:50 AM  1000     15727   11.00    5.00    0.00    0.00   16.00    19  talker
09:49:51 AM  1000     15727    5.00   12.00    0.00    0.00   17.00    12  talker
09:49:52 AM  1000     15727   14.00    2.00    0.00    0.00   16.00    14  talker
09:49:53 AM  1000     15727   17.00    0.00    0.00    0.00   17.00    16  talker
09:49:54 AM  1000     15727   17.00    0.00    0.00    0.00   17.00     5  talker
09:49:55 AM  1000     15727   16.00    0.00    0.00    0.00   16.00     3  talker
09:49:56 AM  1000     15727   17.00    0.00    0.00    0.00   17.00     4  talker
09:49:57 AM  1000     15727   14.00    2.00    0.00    0.00   16.00    13  talker
09:49:58 AM  1000     15727    7.00   10.00    0.00    0.00   17.00    19  talker
09:49:59 AM  1000     15727   17.00    0.00    0.00    0.00   17.00     1  talker
09:50:00 AM  1000     15727   16.00    0.00    0.00    0.00   16.00    14  talker
09:50:01 AM  1000     15727   16.00    0.00    0.00    0.00   16.00    15  talker
09:50:02 AM  1000     15727   17.00    0.00    0.00    0.00   17.00     7  talker
09:50:03 AM  1000     15727   16.00    0.00    0.00    0.00   16.00     7  talker
09:50:04 AM  1000     15727   17.00    0.00    0.00    0.00   17.00     7  talker
09:50:05 AM  1000     15727   16.00    0.00    0.00    0.00   16.00    15  talker
09:50:06 AM  1000     15727   17.00    0.00    0.00    0.00   17.00     8  talker
09:50:07 AM  1000     15727   16.00    0.00    0.00    0.00   16.00    16  talker
09:50:08 AM  1000     15727   16.00    0.00    0.00    0.00   16.00    18  talker
09:50:09 AM  1000     15727   17.00    0.00    0.00    0.00   17.00     1  talker
09:50:10 AM  1000     15727   16.00    0.00    0.00    0.00   16.00    15  talker
09:50:11 AM  1000     15727   16.00    0.00    0.00    0.00   16.00    13  talker
09:50:12 AM  1000     15727   17.00    0.00    0.00    0.00   17.00     6  talker
09:50:13 AM  1000     15727   17.00    0.00    0.00    0.00   17.00    10  talker
09:50:14 AM  1000     15727   16.00    0.00    0.00    0.00   16.00     0  talker
Average:     1000     15727   10.45    6.02    0.00    0.00   16.47     -  talker
