Linux 6.5.0-44-generic (npc2408016) 	07/01/2025 	_x86_64_	(22 CPU)

03:00:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:00:01 PM  1000     69460    0.00    1.00    0.00    0.00    1.00     5  listener
03:00:01 PM  1000     69462    1.00    1.00    0.00    0.00    2.00     9  listener
03:00:01 PM  1000     69464    1.00    0.00    0.00    0.00    1.00    16  listener
03:00:01 PM  1000     69466    1.00    0.00    0.00    0.00    1.00     6  listener
03:00:01 PM  1000     69468    1.00    1.00    0.00    0.00    2.00     5  listener
03:00:01 PM  1000     69470    0.00    1.00    0.00    0.00    1.00    12  listener
03:00:01 PM  1000     69472    1.00    1.00    0.00    0.00    2.00     4  listener
03:00:01 PM  1000     69474    1.00    0.00    0.00    0.00    1.00     0  listener
03:00:01 PM  1000     69476    1.00    0.00    0.00    0.00    1.00     6  listener
03:00:01 PM  1000     69486    1.00    1.00    0.00    0.00    2.00     6  listener
03:00:01 PM  1000     69490    2.00    0.00    0.00    0.00    2.00     1  listener
03:00:01 PM  1000     69547    1.00    0.00    0.00    0.00    1.00    19  listener
03:00:01 PM  1000     69583    1.00    0.00    0.00    0.00    1.00     1  listener
03:00:01 PM  1000     69594    0.00    1.00    0.00    0.00    1.00     6  listener
03:00:01 PM  1000     69614    1.00    1.00    0.00    0.00    2.00    11  listener
03:00:01 PM  1000     69625    2.00    1.00    0.00    0.00    3.00     9  listener
03:00:01 PM  1000     69634    1.00    1.00    0.00    0.00    2.00    17  listener
03:00:01 PM  1000     69656    1.00    1.00    0.00    0.00    2.00    13  listener
03:00:01 PM  1000     69666    1.00    1.00    0.00    0.00    2.00    13  listener
03:00:01 PM  1000     69679    2.00    1.00    0.00    0.00    3.00    10  listener
03:00:01 PM  1000     69724    0.00    2.00    0.00    0.00    2.00    18  listener
03:00:01 PM  1000     69728    0.00    1.00    0.00    0.00    1.00     1  listener
03:00:01 PM  1000     69733    0.00    1.00    0.00    0.00    1.00    17  listener
03:00:01 PM  1000     69785    1.00    0.00    0.00    0.00    1.00     1  listener
03:00:01 PM  1000     69787    1.00    1.00    0.00    0.00    2.00     8  listener
03:00:01 PM  1000     69789    1.00    1.00    0.00    0.00    2.00     3  listener
03:00:01 PM  1000     69791    1.00    1.00    0.00    0.00    2.00    12  listener
03:00:01 PM  1000     69811    1.00    1.00    0.00    0.00    2.00     3  listener
03:00:01 PM  1000     69813    0.00    1.00    0.00    0.00    1.00    14  listener
03:00:01 PM  1000     69815    1.00    0.00    0.00    0.00    1.00     3  listener
03:00:01 PM  1000     69826    1.00    0.00    0.00    0.00    1.00     0  listener
03:00:01 PM  1000     69836    0.00    1.00    0.00    0.00    1.00    14  listener
03:00:01 PM  1000     69917    1.00    0.00    0.00    0.00    1.00     1  listener
03:00:01 PM  1000     70039    1.00    1.00    0.00    0.00    2.00     2  listener
03:00:01 PM  1000     70041    1.00    1.00    0.00    0.00    2.00    11  listener
03:00:01 PM  1000     70063    1.00    0.00    0.00    0.00    1.00    16  listener
03:00:01 PM  1000     70090    1.00    1.00    0.00    0.00    2.00    18  listener
03:00:01 PM  1000     70100    1.00    0.00    0.00    0.00    1.00     9  listener
03:00:01 PM  1000     70139    1.00    1.00    0.00    0.00    2.00     7  listener
03:00:01 PM  1000     70168    1.00    0.00    0.00    0.00    1.00     6  listener
03:00:01 PM  1000     70171    1.00    1.00    0.00    0.00    2.00    17  listener
03:00:01 PM  1000     70208    1.00    1.00    0.00    0.00    2.00    18  listener
03:00:01 PM  1000     70246    1.00    0.00    0.00    0.00    1.00     3  listener
03:00:01 PM  1000     70248    1.00    1.00    0.00    0.00    2.00    19  listener
03:00:01 PM  1000     70259    0.00    1.00    0.00    0.00    1.00    14  listener
03:00:01 PM  1000     70261    1.00    0.00    0.00    0.00    1.00     3  listener
03:00:01 PM  1000     70272    2.00    0.00    0.00    0.00    2.00    15  listener
03:00:01 PM  1000     70301    0.00    0.00    0.00    0.00    0.00     6  listener
03:00:01 PM  1000     70316    0.00    1.00    0.00    0.00    1.00    12  listener
03:00:01 PM  1000     70332    1.00    1.00    0.00    0.00    2.00     6  listener
03:00:01 PM  1000     70343    1.00    1.00    0.00    0.00    2.00    16  listener
03:00:01 PM  1000     70345    1.00    1.00    0.00    0.00    2.00     9  listener
03:00:01 PM  1000     70348    1.00    1.00    0.00    0.00    2.00    18  listener
03:00:01 PM  1000     70357    0.00    1.00    0.00    0.00    1.00     9  listener
03:00:01 PM  1000     70386    1.00    0.00    0.00    0.00    1.00     5  listener
03:00:01 PM  1000     70479    1.00    0.00    0.00    0.00    1.00    13  listener
03:00:01 PM  1000     70498    2.00    0.00    0.00    0.00    2.00     0  listener
03:00:01 PM  1000     70501    1.00    1.00    0.00    0.00    2.00     0  listener
03:00:01 PM  1000     70530    1.00    1.00    0.00    0.00    2.00    10  listener
03:00:01 PM  1000     70541    1.00    0.00    0.00    0.00    1.00    14  listener
03:00:01 PM  1000     70544    1.00    1.00    0.00    0.00    2.00     3  listener
03:00:01 PM  1000     70581    1.00    0.00    0.00    0.00    1.00     1  listener
03:00:01 PM  1000     70592    1.00    0.00    0.00    0.00    1.00    17  listener
03:00:01 PM  1000     70602    1.00    0.00    0.00    0.00    1.00    17  listener
03:00:01 PM  1000     70623    1.00    0.00    0.00    0.00    1.00     9  listener
03:00:01 PM  1000     70679    1.00    0.00    0.00    0.00    1.00     3  listener
03:00:01 PM  1000     70690    1.00    1.00    0.00    0.00    2.00    17  listener
03:00:01 PM  1000     70701    0.00    0.00    0.00    0.00    0.00    12  listener
03:00:01 PM  1000     70719    1.00    0.00    0.00    0.00    1.00     3  listener
03:00:01 PM  1000     70758    1.00    1.00    0.00    0.00    2.00    12  listener
03:00:01 PM  1000     70797    0.00    1.00    0.00    0.00    1.00    19  listener
03:00:01 PM  1000     70800    1.00    1.00    0.00    0.00    2.00     0  listener
03:00:01 PM  1000     70846    1.00    0.00    0.00    0.00    1.00    19  listener
03:00:01 PM  1000     70848    1.00    1.00    0.00    0.00    2.00     6  listener
03:00:01 PM  1000     70850    1.00    0.00    0.00    0.00    1.00    16  listener
03:00:01 PM  1000     70896    0.00    2.00    0.00    0.00    2.00    11  listener
03:00:01 PM  1000     70899    1.00    1.00    0.00    0.00    2.00    13  listener
03:00:01 PM  1000     70919    1.00    1.00    0.00    0.00    2.00     1  listener
03:00:01 PM  1000     70939    1.00    0.00    0.00    0.00    1.00    10  listener
03:00:01 PM  1000     70941    0.00    1.00    0.00    0.00    1.00     5  listener
03:00:01 PM  1000     70943    1.00    1.00    0.00    0.00    2.00     6  listener
03:00:01 PM  1000     70994    0.00    1.00    0.00    0.00    1.00     0  listener
03:00:01 PM  1000     71010    1.00    0.00    0.00    0.00    1.00    14  listener
03:00:01 PM  1000     71012    1.00    1.00    0.00    0.00    2.00     5  listener
03:00:01 PM  1000     71014    1.00    1.00    0.00    0.00    2.00     2  listener
03:00:01 PM  1000     71016    0.00    2.00    0.00    0.00    2.00    16  listener
03:00:01 PM  1000     71037    1.00    0.00    0.00    0.00    1.00     8  listener
03:00:01 PM  1000     71056    1.00    1.00    0.00    0.00    2.00     4  listener
03:00:01 PM  1000     71077    1.00    1.00    0.00    0.00    2.00    18  listener
03:00:01 PM  1000     71096    0.00    1.00    0.00    0.00    1.00     3  listener
03:00:01 PM  1000     71118    2.00    1.00    0.00    0.00    3.00     8  listener
03:00:01 PM  1000     71138    2.00    0.00    0.00    0.00    2.00    12  listener
03:00:01 PM  1000     71140    0.00    1.00    0.00    0.00    1.00    15  listener
03:00:01 PM  1000     71160    1.00    1.00    0.00    0.00    2.00    11  listener
03:00:01 PM  1000     71162    1.00    1.00    0.00    0.00    2.00     8  listener
03:00:01 PM  1000     71173    1.00    1.00    0.00    0.00    2.00     7  listener

03:00:01 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:00:02 PM  1000     69460    1.00    0.00    0.00    0.00    1.00     6  listener
03:00:02 PM  1000     69462    1.00    1.00    0.00    0.00    2.00    12  listener
03:00:02 PM  1000     69464    0.00    1.00    0.00    0.00    1.00     0  listener
03:00:02 PM  1000     69466    0.00    0.00    0.00    0.00    0.00     3  listener
03:00:02 PM  1000     69468    0.00    0.00    0.00    0.00    0.00    13  listener
03:00:02 PM  1000     69470    1.00    1.00    0.00    0.00    2.00    19  listener
03:00:02 PM  1000     69472    0.00    0.00    0.00    0.00    0.00     2  listener
03:00:02 PM  1000     69474    1.00    1.00    0.00    0.00    2.00    15  listener
03:00:02 PM  1000     69476    0.00    0.00    0.00    0.00    0.00    12  listener
03:00:02 PM  1000     69486    0.00    1.00    0.00    0.00    1.00     1  listener
03:00:02 PM  1000     69490    0.00    1.00    0.00    0.00    1.00     1  listener
03:00:02 PM  1000     69547    1.00    1.00    0.00    0.00    2.00     7  listener
03:00:02 PM  1000     69583    1.00    0.00    0.00    0.00    1.00    12  listener
03:00:02 PM  1000     69594    1.00    0.00    0.00    0.00    1.00    16  listener
03:00:02 PM  1000     69614    0.00    0.00    0.00    0.00    0.00     1  listener
03:00:02 PM  1000     69625    0.00    0.00    0.00    0.00    0.00     3  listener
03:00:02 PM  1000     69634    0.00    0.00    0.00    0.00    0.00    19  listener
03:00:02 PM  1000     69656    0.00    0.00    0.00    0.00    0.00    12  listener
03:00:02 PM  1000     69666    0.00    0.00    0.00    0.00    0.00     7  listener
03:00:02 PM  1000     69679    1.00    0.00    0.00    0.00    1.00    12  listener
03:00:02 PM  1000     69724    0.00    0.00    0.00    0.00    0.00    12  listener
03:00:02 PM  1000     69728    2.00    0.00    0.00    0.00    2.00     8  listener
03:00:02 PM  1000     69733    1.00    1.00    0.00    0.00    2.00    13  listener
03:00:02 PM  1000     69785    0.00    1.00    0.00    0.00    1.00     3  listener
03:00:02 PM  1000     69787    0.00    1.00    0.00    0.00    1.00    10  listener
03:00:02 PM  1000     69789    1.00    1.00    0.00    0.00    2.00    11  listener
03:00:02 PM  1000     69791    0.00    1.00    0.00    0.00    1.00     3  listener
03:00:02 PM  1000     69811    1.00    0.00    0.00    0.00    1.00    18  listener
03:00:02 PM  1000     69813    0.00    1.00    0.00    0.00    1.00    12  listener
03:00:02 PM  1000     69815    1.00    1.00    0.00    0.00    2.00    10  listener
03:00:02 PM  1000     69826    1.00    1.00    0.00    0.00    2.00     8  listener
03:00:02 PM  1000     69836    1.00    1.00    0.00    0.00    2.00    15  listener
03:00:02 PM  1000     69917    1.00    0.00    0.00    0.00    1.00     6  listener
03:00:02 PM  1000     70039    0.00    0.00    0.00    0.00    0.00     1  listener
03:00:02 PM  1000     70041    1.00    1.00    0.00    0.00    2.00    18  listener
03:00:02 PM  1000     70063    1.00    0.00    0.00    0.00    1.00    16  listener
03:00:02 PM  1000     70090    1.00    0.00    0.00    0.00    1.00     5  listener
03:00:02 PM  1000     70100    1.00    1.00    0.00    0.00    2.00    12  listener
03:00:02 PM  1000     70139    1.00    0.00    0.00    0.00    1.00    11  listener
03:00:02 PM  1000     70168    1.00    1.00    0.00    0.00    2.00    12  listener
03:00:02 PM  1000     70171    1.00    1.00    0.00    0.00    2.00     6  listener
03:00:02 PM  1000     70208    1.00    0.00    0.00    0.00    1.00    14  listener
03:00:02 PM  1000     70246    1.00    0.00    0.00    0.00    1.00    16  listener
03:00:02 PM  1000     70248    0.00    1.00    0.00    0.00    1.00     1  listener
03:00:02 PM  1000     70259    1.00    0.00    0.00    0.00    1.00     8  listener
03:00:02 PM  1000     70261    1.00    1.00    0.00    0.00    2.00     9  listener
03:00:02 PM  1000     70272    0.00    0.00    0.00    0.00    0.00     2  listener
03:00:02 PM  1000     70301    1.00    0.00    0.00    0.00    1.00     5  listener
03:00:02 PM  1000     70316    1.00    0.00    0.00    0.00    1.00    16  listener
03:00:02 PM  1000     70332    1.00    0.00    0.00    0.00    1.00     3  listener
