Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

10:39:49 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:39:50 AM  1000     20546   24.00   12.00    0.00    1.00   36.00     5  talker
10:39:51 AM  1000     20546   26.00   11.00    0.00    0.00   37.00    16  talker
10:39:52 AM  1000     20546   23.00   15.00    0.00    0.00   38.00     8  talker
10:39:53 AM  1000     20546   21.00   16.00    0.00    0.00   37.00     3  talker
10:39:54 AM  1000     20546   22.00   15.00    0.00    0.00   37.00     6  talker
10:39:55 AM  1000     20546   24.00   13.00    0.00    0.00   37.00     7  talker
10:39:56 AM  1000     20546   20.00   17.00    0.00    0.00   37.00     6  talker
10:39:57 AM  1000     20546   22.00   15.00    0.00    0.00   37.00    19  talker
10:39:58 AM  1000     20546   21.00   16.00    0.00    0.00   37.00     6  talker
10:39:59 AM  1000     20546   20.00   16.00    0.00    0.00   36.00     2  talker
10:40:00 AM  1000     20546   20.00   17.00    0.00    0.00   37.00    18  talker
10:40:01 AM  1000     20546   20.00   18.00    0.00    0.00   38.00     6  talker
10:40:02 AM  1000     20546   18.00   19.00    0.00    0.00   37.00     2  talker
10:40:03 AM  1000     20546   18.00   20.00    0.00    0.00   38.00     2  talker
10:40:04 AM  1000     20546   21.00   16.00    0.00    0.00   37.00     4  talker
10:40:05 AM  1000     20546   18.00   18.00    0.00    0.00   36.00     8  talker
10:40:06 AM  1000     20546   15.00   22.00    0.00    0.00   37.00    16  talker
10:40:07 AM  1000     20546   15.00   22.00    0.00    0.00   37.00     9  talker
10:40:08 AM  1000     20546   19.00   19.00    0.00    0.00   38.00     7  talker
10:40:09 AM  1000     20546   24.00   13.00    0.00    0.00   37.00    11  talker
10:40:10 AM  1000     20546   20.00   17.00    0.00    0.00   37.00     8  talker
10:40:11 AM  1000     20546   20.00   17.00    0.00    0.00   37.00    10  talker
10:40:12 AM  1000     20546   26.00   11.00    0.00    0.00   37.00    11  talker
10:40:13 AM  1000     20546   30.00    9.00    0.00    0.00   39.00     0  talker
10:40:14 AM  1000     20546   31.00    5.00    0.00    0.00   36.00     0  talker
10:40:15 AM  1000     20546   29.00    8.00    0.00    0.00   37.00     1  talker
10:40:16 AM  1000     20546   31.00    6.00    0.00    0.00   37.00    12  talker
10:40:17 AM  1000     20546   30.00    8.00    0.00    0.00   38.00    14  talker
10:40:18 AM  1000     20546   27.00   10.00    0.00    0.00   37.00    18  talker
10:40:19 AM  1000     20546   26.00   10.00    0.00    0.00   36.00    17  talker
10:40:20 AM  1000     20546   23.00   14.00    0.00    0.00   37.00     5  talker
10:40:21 AM  1000     20546   26.00   12.00    0.00    0.00   38.00    11  talker
10:40:22 AM  1000     20546   25.00   11.00    0.00    0.00   36.00     7  talker
10:40:23 AM  1000     20546   24.00   13.00    0.00    0.00   37.00     6  talker
10:40:24 AM  1000     20546   25.00   12.00    0.00    0.00   37.00     5  talker
10:40:25 AM  1000     20546   25.00   12.00    0.00    0.00   37.00     9  talker
10:40:26 AM  1000     20546   23.00   13.00    0.00    0.00   36.00    15  talker
10:40:27 AM  1000     20546   25.00   12.00    0.00    0.00   37.00    11  talker
10:40:28 AM  1000     20546   29.00    9.00    0.00    0.00   38.00    16  talker
10:40:29 AM  1000     20546   24.00   12.00    0.00    0.00   36.00     9  talker
10:40:30 AM  1000     20546   25.00   12.00    0.00    0.00   37.00    18  talker
10:40:31 AM  1000     20546   27.00   10.00    0.00    0.00   37.00     4  talker
10:40:32 AM  1000     20546   27.00   10.00    0.00    0.00   37.00     6  talker
10:40:33 AM  1000     20546   28.00    9.00    0.00    0.00   37.00     1  talker
10:40:34 AM  1000     20546   28.00    9.00    0.00    0.00   37.00     1  talker
10:40:35 AM  1000     20546   26.00   11.00    0.00    0.00   37.00     4  talker
10:40:36 AM  1000     20546   26.00   10.00    0.00    0.00   36.00     3  talker
10:40:37 AM  1000     20546   26.00   11.00    0.00    0.00   37.00     6  talker
10:40:38 AM  1000     20546   27.00   10.00    0.00    0.00   37.00     2  talker
10:40:39 AM  1000     20546   26.00   10.00    0.00    0.00   36.00    14  talker
10:40:40 AM  1000     20546   28.00    9.00    0.00    0.00   37.00     5  talker
10:40:41 AM  1000     20546   27.00   10.00    0.00    0.00   37.00     3  talker
10:40:42 AM  1000     20546   27.00    9.00    0.00    0.00   36.00    15  talker
10:40:43 AM  1000     20546   26.00   11.00    0.00    0.00   37.00    11  talker
10:40:44 AM  1000     20546   27.00   11.00    0.00    0.00   38.00    15  talker
10:40:45 AM  1000     20546   24.00   14.00    0.00    0.00   38.00     2  talker
10:40:46 AM  1000     20546   27.00   10.00    0.00    0.00   37.00     1  talker
10:40:47 AM  1000     20546   26.00   11.00    0.00    0.00   37.00    13  talker
10:40:48 AM  1000     20546   27.00    9.00    0.00    0.00   36.00     5  talker
10:40:49 AM  1000     20546   24.00   13.00    0.00    0.00   37.00     2  talker
Average:     1000     20546   24.32   12.67    0.00    0.02   36.98     -  talker
