Linux 6.5.0-44-generic (npc2408016)     06/13/2025      _x86_64_        (22 CPU)

08:23:18 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:23:19 AM  1000      8271    9.00    2.00    0.00    0.00   11.00     8  listener
08:23:20 AM  1000      8271    3.00    9.00    0.00    0.00   12.00     8  listener
08:23:21 AM  1000      8271    9.00    0.00    0.00    0.00    9.00     8  listener
08:23:22 AM  1000      8271   11.00    0.00    0.00    0.00   11.00     8  listener
08:23:23 AM  1000      8271   10.00    0.00    0.00    0.00   10.00     8  listener
08:23:24 AM  1000      8271    8.00    2.00    0.00    0.00   10.00     8  listener
08:23:25 AM  1000      8271    6.00    5.00    0.00    0.00   11.00     8  listener
08:23:26 AM  1000      8271    9.00    0.00    0.00    0.00    9.00     8  listener
08:23:27 AM  1000      8271    9.00    1.00    0.00    0.00   10.00     8  listener
08:23:28 AM  1000      8271   10.00    0.00    0.00    0.00   10.00     8  listener
08:23:29 AM  1000      8271    8.00    1.00    0.00    0.00    9.00     3  listener
08:23:30 AM  1000      8271    7.00    3.00    0.00    0.00   10.00     3  listener
08:23:31 AM  1000      8271    6.00    4.00    0.00    0.00   10.00     3  listener
08:23:32 AM  1000      8271   10.00    0.00    0.00    0.00   10.00     3  listener
08:23:33 AM  1000      8271    7.00    4.00    0.00    0.00   11.00     3  listener
08:23:34 AM  1000      8271    0.00   10.00    0.00    0.00   10.00     3  listener
08:23:35 AM  1000      8271    0.00   11.00    0.00    0.00   11.00     8  listener
08:23:36 AM  1000      8271    0.00   10.00    0.00    0.00   10.00     8  listener
08:23:37 AM  1000      8271   10.00    1.00    0.00    0.00   11.00    17  listener
08:23:38 AM  1000      8271    4.00    7.00    0.00    0.00   11.00    17  listener
08:23:39 AM  1000      8271    0.00   10.00    0.00    0.00   10.00     8  listener
08:23:40 AM  1000      8271    0.00   10.00    0.00    0.00   10.00     8  listener
08:23:41 AM  1000      8271   11.00    0.00    0.00    0.00   11.00     8  listener
08:23:42 AM  1000      8271    9.00    2.00    0.00    0.00   11.00     8  listener
08:23:43 AM  1000      8271    8.00    2.00    0.00    0.00   10.00     8  listener
08:23:44 AM  1000      8271    7.00    3.00    0.00    0.00   10.00     8  listener
08:23:45 AM  1000      8271    9.00    2.00    0.00    0.00   11.00     8  listener
08:23:46 AM  1000      8271   10.00    0.00    0.00    0.00   10.00     8  listener
08:23:47 AM  1000      8271   10.00    0.00    0.00    0.00   10.00     8  listener
08:23:48 AM  1000      8271    0.00   10.00    0.00    0.00   10.00     8  listener
08:23:49 AM  1000      8271    0.00   10.00    0.00    0.00   10.00     8  listener
08:23:50 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    10  listener
08:23:51 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    10  listener
08:23:52 AM  1000      8271   10.00    0.00    0.00    0.00   10.00     8  listener
08:23:53 AM  1000      8271    1.00   10.00    0.00    0.00   11.00     8  listener
08:23:54 AM  1000      8271    7.00    4.00    0.00    0.00   11.00     8  listener
08:23:55 AM  1000      8271    0.00   11.00    0.00    0.00   11.00     8  listener
08:23:56 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    10  listener
08:23:57 AM  1000      8271    2.00    8.00    0.00    0.00   10.00     8  listener
08:23:58 AM  1000      8271    5.00    6.00    0.00    0.00   11.00     8  listener
08:23:59 AM  1000      8271    5.00    6.00    0.00    0.00   11.00     8  listener
08:24:00 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    10  listener
08:24:01 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    16  listener
08:24:02 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    16  listener
08:24:03 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    16  listener
08:24:04 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    16  listener
08:24:05 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    16  listener
08:24:06 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    16  listener
08:24:07 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    16  listener
08:24:08 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    16  listener
08:24:09 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    10  listener
08:24:10 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    10  listener
08:24:11 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    10  listener
08:24:12 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    10  listener
08:24:13 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    10  listener
08:24:14 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    13  listener
08:24:15 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    13  listener
08:24:16 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    13  listener
08:24:17 AM  1000      8271    0.00   11.00    0.00    0.00   11.00    13  listener
08:24:18 AM  1000      8271    0.00   10.00    0.00    0.00   10.00    13  listener
Average:     1000      8271    3.83    6.58    0.00    0.00   10.42     -  listener
