Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

10:31:37 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:38 AM  1000     19535   23.00    7.00    0.00    0.00   30.00    10  talker
10:31:39 AM  1000     19535   25.00    7.00    0.00    0.00   32.00    14  talker
10:31:40 AM  1000     19535   23.00    9.00    0.00    0.00   32.00    14  talker
10:31:41 AM  1000     19535   19.00   12.00    0.00    0.00   31.00    13  talker
10:31:42 AM  1000     19535   24.00    8.00    0.00    0.00   32.00    12  talker
10:31:43 AM  1000     19535   20.00   12.00    0.00    0.00   32.00    17  talker
10:31:44 AM  1000     19535   22.00   10.00    0.00    0.00   32.00     0  talker
10:31:45 AM  1000     19535   21.00   10.00    0.00    0.00   31.00    15  talker
10:31:46 AM  1000     19535   24.00    8.00    0.00    0.00   32.00     8  talker
10:31:47 AM  1000     19535   23.00    9.00    0.00    0.00   32.00     7  talker
10:31:48 AM  1000     19535   21.00   11.00    0.00    0.00   32.00     4  talker
10:31:49 AM  1000     19535   24.00    7.00    0.00    0.00   31.00     1  talker
10:31:50 AM  1000     19535   23.00   10.00    0.00    0.00   33.00    12  talker
10:31:51 AM  1000     19535   22.00    9.00    0.00    0.00   31.00     4  talker
10:31:52 AM  1000     19535   26.00    6.00    0.00    0.00   32.00     6  talker
10:31:53 AM  1000     19535   21.00   11.00    0.00    0.00   32.00     6  talker
10:31:54 AM  1000     19535   23.00   10.00    0.00    0.00   33.00     5  talker
10:31:55 AM  1000     19535   23.00    8.00    0.00    0.00   31.00    15  talker
10:31:56 AM  1000     19535   24.00    9.00    0.00    0.00   33.00    16  talker
10:31:57 AM  1000     19535   20.00   10.00    0.00    0.00   30.00    13  talker
10:31:58 AM  1000     19535   22.00   10.00    0.00    0.00   32.00    11  talker
10:31:59 AM  1000     19535   21.00   11.00    0.00    0.00   32.00    19  talker
10:32:00 AM  1000     19535   20.00   12.00    0.00    0.00   32.00     8  talker
10:32:01 AM  1000     19535   22.00   10.00    0.00    0.00   32.00    14  talker
10:32:02 AM  1000     19535   21.00   12.00    0.00    0.00   33.00     0  talker
10:32:03 AM  1000     19535   21.00   10.00    0.00    0.00   31.00     5  talker
10:32:04 AM  1000     19535   20.00   12.00    0.00    0.00   32.00    15  talker
10:32:05 AM  1000     19535   23.00    8.00    0.00    0.00   31.00    14  talker
10:32:06 AM  1000     19535   24.00    9.00    0.00    0.00   33.00     8  talker
10:32:07 AM  1000     19535   22.00    9.00    0.00    0.00   31.00    17  talker
10:32:08 AM  1000     19535   24.00    8.00    0.00    0.00   32.00     2  talker
10:32:09 AM  1000     19535   23.00    9.00    0.00    0.00   32.00    19  talker
10:32:10 AM  1000     19535   20.00   12.00    0.00    0.00   32.00    11  talker
10:32:11 AM  1000     19535   22.00    9.00    0.00    0.00   31.00     1  talker
10:32:12 AM  1000     19535   21.00   10.00    0.00    0.00   31.00     0  talker
10:32:13 AM  1000     19535   24.00    8.00    0.00    0.00   32.00    12  talker
10:32:14 AM  1000     19535   23.00    8.00    0.00    0.00   31.00     6  talker
10:32:15 AM  1000     19535   22.00   10.00    0.00    0.00   32.00     7  talker
10:32:16 AM  1000     19535   23.00    9.00    0.00    0.00   32.00     4  talker
10:32:17 AM  1000     19535   23.00    9.00    0.00    0.00   32.00     8  talker
10:32:18 AM  1000     19535   23.00    9.00    0.00    0.00   32.00    15  talker
10:32:19 AM  1000     19535   22.00   10.00    0.00    0.00   32.00    15  talker
10:32:20 AM  1000     19535   20.00   12.00    0.00    0.00   32.00    10  talker
10:32:21 AM  1000     19535   21.00   11.00    0.00    0.00   32.00     1  talker
10:32:22 AM  1000     19535   24.00    8.00    0.00    0.00   32.00    15  talker
10:32:23 AM  1000     19535   21.00   10.00    0.00    0.00   31.00    18  talker
10:32:24 AM  1000     19535   24.00    8.00    0.00    0.00   32.00     3  talker
10:32:25 AM  1000     19535   23.00   10.00    0.00    0.00   33.00    16  talker
10:32:26 AM  1000     19535   21.00   10.00    0.00    0.00   31.00    11  talker
10:32:27 AM  1000     19535   25.00    7.00    0.00    0.00   32.00     2  talker
10:32:28 AM  1000     19535   20.00   11.00    0.00    0.00   31.00    14  talker
10:32:29 AM  1000     19535   22.00   10.00    0.00    0.00   32.00     4  talker
10:32:30 AM  1000     19535   25.00    7.00    0.00    0.00   32.00     1  talker
10:32:31 AM  1000     19535   20.00   11.00    0.00    0.00   31.00    14  talker
10:32:32 AM  1000     19535   24.00    8.00    0.00    0.00   32.00     9  talker
10:32:33 AM  1000     19535   24.00    7.00    0.00    0.00   31.00     1  talker
10:32:34 AM  1000     19535   20.00   12.00    0.00    0.00   32.00     8  talker
10:32:35 AM  1000     19535   24.00    8.00    0.00    0.00   32.00     7  talker
10:32:36 AM  1000     19535   21.00   11.00    0.00    0.00   32.00     8  talker
10:32:37 AM  1000     19535   22.00   10.00    0.00    0.00   32.00     9  talker
Average:     1000     19535   22.30    9.47    0.00    0.00   31.77     -  talker
