Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

09:31:15 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:16 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     3  talker
09:31:17 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     3  talker
09:31:18 AM  1000     13594    8.00    0.00    0.00    0.00    8.00     5  talker
09:31:19 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     6  talker
09:31:20 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     5  talker
09:31:21 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     5  talker
09:31:22 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     2  talker
09:31:23 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     2  talker
09:31:24 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     1  talker
09:31:25 AM  1000     13594    8.00    0.00    0.00    0.00    8.00     6  talker
09:31:26 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     6  talker
09:31:27 AM  1000     13594    9.00    0.00    0.00    0.00    9.00     3  talker
09:31:28 AM  1000     13594   10.00    0.00    0.00    0.00   10.00     1  talker
09:31:29 AM  1000     13594    9.00    0.00    0.00    0.00    9.00    15  talker
09:31:30 AM  1000     13594    6.00    3.00    0.00    0.00    9.00    20  talker
09:31:31 AM  1000     13594    4.00    4.00    0.00    0.00    8.00    16  talker
09:31:32 AM  1000     13594    3.00    6.00    0.00    0.00    9.00    15  talker
09:31:33 AM  1000     13594    5.00    4.00    0.00    0.00    9.00    10  talker
09:31:34 AM  1000     13594    5.00    4.00    0.00    0.00    9.00    15  talker
09:31:35 AM  1000     13594    4.00    5.00    0.00    0.00    9.00     1  talker
09:31:36 AM  1000     13594    4.00    4.00    0.00    0.00    8.00     1  talker
09:31:37 AM  1000     13594    4.00    5.00    0.00    0.00    9.00     3  talker
09:31:38 AM  1000     13594    3.00    6.00    0.00    0.00    9.00     4  talker
09:31:39 AM  1000     13594    4.00    4.00    0.00    0.00    8.00     0  talker
09:31:40 AM  1000     13594    5.00    4.00    0.00    0.00    9.00    20  talker
09:31:41 AM  1000     13594    5.00    5.00    0.00    0.00   10.00     3  talker
09:31:42 AM  1000     13594    1.00    8.00    0.00    0.00    9.00     3  talker
09:31:43 AM  1000     13594    5.00    4.00    0.00    0.00    9.00    13  talker
09:31:44 AM  1000     13594    5.00    4.00    0.00    0.00    9.00     5  talker
09:31:45 AM  1000     13594    5.00    3.00    0.00    0.00    8.00    17  talker
09:31:46 AM  1000     13594    5.00    4.00    0.00    0.00    9.00     3  talker
09:31:47 AM  1000     13594    3.00    6.00    0.00    0.00    9.00    12  talker
09:31:48 AM  1000     13594    5.00    4.00    0.00    0.00    9.00     6  talker
09:31:49 AM  1000     13594    5.00    4.00    0.00    0.00    9.00    17  talker
09:31:50 AM  1000     13594    5.00    4.00    0.00    0.00    9.00     5  talker
09:31:51 AM  1000     13594    3.00    4.00    0.00    0.00    7.00     3  talker
09:31:52 AM  1000     13594    2.00    7.00    0.00    0.00    9.00    12  talker
09:31:53 AM  1000     13594    4.00    5.00    0.00    0.00    9.00     6  talker
09:31:54 AM  1000     13594    3.00    5.00    0.00    0.00    8.00    18  talker
09:31:55 AM  1000     13594    3.00    6.00    0.00    0.00    9.00     8  talker
09:31:56 AM  1000     13594    4.00    4.00    0.00    0.00    8.00     3  talker
09:31:57 AM  1000     13594    4.00    5.00    0.00    0.00    9.00     3  talker
09:31:58 AM  1000     13594    4.00    5.00    0.00    0.00    9.00    14  talker
09:31:59 AM  1000     13594    5.00    3.00    0.00    0.00    8.00     0  talker
09:32:00 AM  1000     13594    5.00    4.00    0.00    0.00    9.00     6  talker
09:32:01 AM  1000     13594    5.00    5.00    0.00    0.00   10.00    13  talker
09:32:02 AM  1000     13594    7.00    2.00    0.00    0.00    9.00     6  talker
09:32:03 AM  1000     13594    6.00    3.00    0.00    0.00    9.00     8  talker
09:32:04 AM  1000     13594    6.00    3.00    0.00    0.00    9.00     8  talker
09:32:05 AM  1000     13594    6.00    2.00    0.00    0.00    8.00    20  talker
09:32:06 AM  1000     13594    5.00    6.00    0.00    0.00   11.00     0  talker
09:32:07 AM  1000     13594    7.00    1.00    0.00    0.00    8.00    10  talker
09:32:08 AM  1000     13594    3.00    7.00    0.00    0.00   10.00     8  talker
09:32:09 AM  1000     13594    5.00    3.00    0.00    0.00    8.00     9  talker
09:32:10 AM  1000     13594    6.00    3.00    0.00    0.00    9.00    18  talker
09:32:11 AM  1000     13594    5.00    4.00    0.00    0.00    9.00     1  talker
09:32:12 AM  1000     13594    6.00    3.00    0.00    0.00    9.00    19  talker
09:32:13 AM  1000     13594    4.00    5.00    0.00    0.00    9.00     6  talker
09:32:14 AM  1000     13594    3.00    6.00    0.00    0.00    9.00     2  talker
09:32:15 AM  1000     13594    5.00    3.00    0.00    0.00    8.00     2  talker
Average:     1000     13594    5.53    3.32    0.00    0.00    8.85     -  talker
