Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

10:11:52 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:11:53 AM  1000     17420   19.00    8.00    0.00    0.00   27.00    11  talker
10:11:54 AM  1000     17420   17.00   11.00    0.00    0.00   28.00    14  talker
10:11:55 AM  1000     17420   18.00   10.00    0.00    0.00   28.00     5  talker
10:11:56 AM  1000     17420   19.00    8.00    0.00    0.00   27.00    14  talker
10:11:57 AM  1000     17420   21.00    7.00    0.00    0.00   28.00     1  talker
10:11:58 AM  1000     17420   23.00    5.00    0.00    0.00   28.00    10  talker
10:11:59 AM  1000     17420   21.00    7.00    0.00    0.00   28.00     0  talker
10:12:00 AM  1000     17420   23.00    4.00    0.00    0.00   27.00    14  talker
10:12:01 AM  1000     17420   20.00    9.00    0.00    0.00   29.00     0  talker
10:12:02 AM  1000     17420   20.00    7.00    0.00    0.00   27.00    13  talker
10:12:03 AM  1000     17420   19.00    9.00    0.00    0.00   28.00    14  talker
10:12:04 AM  1000     17420   21.00    7.00    0.00    0.00   28.00     2  talker
10:12:05 AM  1000     17420   21.00    8.00    0.00    0.00   29.00     0  talker
10:12:06 AM  1000     17420   20.00    8.00    0.00    0.00   28.00     7  talker
10:12:07 AM  1000     17420   19.00    7.00    0.00    0.00   26.00     5  talker
10:12:08 AM  1000     17420   19.00    9.00    0.00    0.00   28.00    19  talker
10:12:09 AM  1000     17420   18.00   11.00    0.00    0.00   29.00     7  talker
10:12:10 AM  1000     17420   23.00    5.00    0.00    0.00   28.00    17  talker
10:12:11 AM  1000     17420   22.00    6.00    0.00    0.00   28.00    13  talker
10:12:12 AM  1000     17420   15.00   11.00    0.00    0.00   26.00     5  talker
10:12:13 AM  1000     17420   21.00    7.00    0.00    0.00   28.00    11  talker
10:12:14 AM  1000     17420   15.00   13.00    0.00    0.00   28.00     2  talker
10:12:15 AM  1000     17420   18.00    9.00    0.00    0.00   27.00    11  talker
10:12:16 AM  1000     17420   18.00   10.00    0.00    0.00   28.00    11  talker
10:12:17 AM  1000     17420   18.00    9.00    0.00    0.00   27.00    10  talker
10:12:18 AM  1000     17420   18.00   10.00    0.00    0.00   28.00     2  talker
10:12:19 AM  1000     17420   16.00   12.00    0.00    0.00   28.00    12  talker
10:12:20 AM  1000     17420   17.00   11.00    0.00    0.00   28.00     5  talker
10:12:21 AM  1000     17420   20.00    7.00    0.00    0.00   27.00     7  talker
10:12:22 AM  1000     17420   18.00   11.00    0.00    0.00   29.00    14  talker
10:12:23 AM  1000     17420   17.00   11.00    0.00    0.00   28.00    20  talker
10:12:24 AM  1000     17420   17.00   11.00    0.00    0.00   28.00    15  talker
10:12:25 AM  1000     17420   18.00    9.00    0.00    0.00   27.00     7  talker
10:12:26 AM  1000     17420   18.00   11.00    0.00    0.00   29.00     2  talker
10:12:27 AM  1000     17420   12.00   15.00    0.00    0.00   27.00     9  talker
10:12:28 AM  1000     17420   13.00   16.00    0.00    0.00   29.00     6  talker
10:12:29 AM  1000     17420   14.00   12.00    0.00    0.00   26.00    19  talker
10:12:30 AM  1000     17420   17.00   11.00    0.00    0.00   28.00     2  talker
10:12:31 AM  1000     17420   14.00   14.00    0.00    0.00   28.00    14  talker
10:12:32 AM  1000     17420   18.00   10.00    0.00    0.00   28.00    17  talker
10:12:33 AM  1000     17420   14.00   13.00    0.00    0.00   27.00    13  talker
10:12:34 AM  1000     17420   19.00   10.00    0.00    0.00   29.00    18  talker
10:12:35 AM  1000     17420   17.00   11.00    0.00    0.00   28.00     5  talker
10:12:36 AM  1000     17420   16.00   12.00    0.00    0.00   28.00    18  talker
10:12:37 AM  1000     17420   13.00   15.00    0.00    0.00   28.00     6  talker
10:12:38 AM  1000     17420   17.00   11.00    0.00    0.00   28.00    13  talker
10:12:39 AM  1000     17420   18.00   10.00    0.00    0.00   28.00     0  talker
10:12:40 AM  1000     17420   18.00    9.00    0.00    0.00   27.00    12  talker
10:12:41 AM  1000     17420   19.00    9.00    0.00    0.00   28.00    18  talker
10:12:42 AM  1000     17420   19.00    8.00    0.00    0.00   27.00    15  talker
10:12:43 AM  1000     17420   22.00    6.00    0.00    0.00   28.00     0  talker
10:12:44 AM  1000     17420   22.00    5.00    0.00    0.00   27.00    14  talker
10:12:45 AM  1000     17420   20.00    7.00    0.00    0.00   27.00     0  talker
10:12:46 AM  1000     17420   19.00    9.00    0.00    0.00   28.00     6  talker
10:12:47 AM  1000     17420   19.00    7.00    0.00    0.00   26.00     5  talker
10:12:48 AM  1000     17420   20.00    8.00    0.00    0.00   28.00     9  talker
10:12:49 AM  1000     17420   19.00    8.00    0.00    0.00   27.00    13  talker
10:12:50 AM  1000     17420   20.00    8.00    0.00    0.00   28.00    18  talker
10:12:51 AM  1000     17420   22.00    6.00    0.00    0.00   28.00     0  talker
10:12:52 AM  1000     17420   21.00    6.00    0.00    0.00   27.00     9  talker
Average:     1000     17420   18.48    9.23    0.00    0.00   27.72     -  talker
