Linux 6.5.0-44-generic (npc2408016) 	06/17/2025 	_x86_64_	(22 CPU)

10:28:39 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:40 AM  1000     19214    0.00   14.00    0.00    0.00   14.00     1  listener
10:28:40 AM  1000     19216   13.00    2.00    0.00    0.00   15.00    11  listener
10:28:40 AM  1000     19218   15.00    0.00    0.00    0.00   15.00    10  listener
10:28:40 AM  1000     19220    8.00    5.00    0.00    0.00   13.00     0  listener
10:28:40 AM  1000     19222    4.00   12.00    0.00    0.00   16.00     3  listener
10:28:40 AM  1000     19224   10.00    8.00    0.00    0.00   18.00    17  listener
10:28:40 AM  1000     19226    4.00    9.00    0.00    0.00   13.00    16  listener
10:28:40 AM  1000     19228   11.00    2.00    0.00    0.00   13.00    17  listener
10:28:40 AM  1000     19230   12.00    2.00    0.00    0.00   14.00    17  listener
10:28:40 AM  1000     19232    0.00    0.00    0.00    0.00    0.00    15  listener

10:28:40 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:41 AM  1000     19214    0.00   16.00    0.00    0.00   16.00     5  listener
10:28:41 AM  1000     19216   15.00    1.00    0.00    0.00   16.00    11  listener
10:28:41 AM  1000     19218   14.00    1.00    0.00    0.00   15.00    12  listener
10:28:41 AM  1000     19220    7.00    5.00    0.00    0.00   12.00    12  listener
10:28:41 AM  1000     19222    4.00   11.00    0.00    0.00   15.00     3  listener
10:28:41 AM  1000     19224    8.00    9.00    0.00    0.00   17.00     8  listener
10:28:41 AM  1000     19226    4.00    9.00    0.00    0.00   13.00    18  listener
10:28:41 AM  1000     19228   13.00    0.00    0.00    0.00   13.00    17  listener
10:28:41 AM  1000     19230   12.00    1.00    0.00    0.00   13.00    17  listener
10:28:41 AM  1000     19232    0.00    0.00    0.00    0.00    0.00    15  listener

10:28:41 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:28:42 AM  1000     19214    0.00   15.00    0.00    0.00   15.00     5  listener
10:28:42 AM  1000     19216   12.00    3.00    0.00    0.00   15.00    18  listener
10:28:42 AM  1000     19218    8.00    6.00    0.00    0.00   14.00     5  listener
10:28:42 AM  1000     19220    6.00    8.00    0.00    0.00   14.00    12  listener
10:28:42 AM  1000     19222    4.00   11.00    0.00    0.00   15.00     0  listener
10:28:42 AM  1000     19224    9.00    7.00    0.00    0.00   16.00     8  listener
10:28:42 AM  1000     19226    5.00    9.00    0.00    0.00   14.00    12  listener
10:28:42 AM  1000     19228   13.00    0.00    0.00    0.00   13.00    14  listener
