Linux 6.5.0-44-generic (npc2408016) 	07/01/2025 	_x86_64_	(22 CPU)

12:00:22 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:00:23 PM  1000     28697    0.00    0.00    0.00    0.00    0.00    14  listener
12:00:23 PM  1000     28699    1.00    1.00    0.00    0.00    2.00     8  listener
12:00:23 PM  1000     28701    0.00    0.00    0.00    0.00    0.00    10  listener
12:00:23 PM  1000     28703    1.00    0.00    0.00    0.00    1.00     3  listener
12:00:23 PM  1000     28705    1.00    1.00    0.00    0.00    2.00     3  listener
12:00:23 PM  1000     28707    1.00    0.00    0.00    0.00    1.00    17  listener
12:00:23 PM  1000     28709    1.00    0.00    0.00    0.00    1.00     4  listener
12:00:23 PM  1000     28711    1.00    0.00    0.00    0.00    1.00     4  listener
12:00:23 PM  1000     28713    1.00    0.00    0.00    0.00    1.00     3  listener
12:00:23 PM  1000     28715    0.00    0.00    0.00    0.00    0.00    18  listener
12:00:23 PM  1000     28717    0.00    0.00    0.00    0.00    0.00    15  listener
12:00:23 PM  1000     28719    1.00    0.00    0.00    0.00    1.00     3  listener
12:00:23 PM  1000     28721    0.00    1.00    0.00    0.00    1.00     1  listener
12:00:23 PM  1000     28723    0.00    0.00    0.00    0.00    0.00     3  listener
12:00:23 PM  1000     28725    0.00    1.00    0.00    0.00    1.00     8  listener
12:00:23 PM  1000     28727    0.00    1.00    0.00    0.00    1.00    16  listener
12:00:23 PM  1000     28729    0.00    0.00    0.00    0.00    0.00    15  listener
12:00:23 PM  1000     28731    1.00    0.00    0.00    0.00    1.00     1  listener
12:00:23 PM  1000     28743    1.00    0.00    0.00    0.00    1.00     4  listener
12:00:23 PM  1000     28772    1.00    0.00    0.00    0.00    1.00     6  listener
12:00:23 PM  1000     28815    0.00    0.00    0.00    0.00    0.00     1  listener
12:00:23 PM  1000     28891    0.00    0.00    0.00    0.00    0.00    19  listener
12:00:23 PM  1000     28967    0.00    0.00    0.00    0.00    0.00    13  listener
12:00:23 PM  1000     29038    0.00    0.00    0.00    0.00    0.00     8  listener
12:00:23 PM  1000     29041    0.00    0.00    0.00    0.00    0.00     1  listener
12:00:23 PM  1000     29049    1.00    0.00    0.00    0.00    1.00     1  listener
12:00:23 PM  1000     29073    0.00    1.00    0.00    0.00    1.00     0  listener
12:00:23 PM  1000     29075    0.00    1.00    0.00    0.00    1.00    10  listener
12:00:23 PM  1000     29086    0.00    0.00    0.00    0.00    0.00     4  listener
12:00:23 PM  1000     29097    1.00    0.00    0.00    0.00    1.00    13  listener
12:00:23 PM  1000     29126    0.00    0.00    0.00    0.00    0.00    13  listener
12:00:23 PM  1000     29138    1.00    1.00    0.00    0.00    2.00     3  listener
