Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

10:45:34 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:45:35 AM  1000     21092   32.00   10.00    0.00    0.00   42.00    13  talker
10:45:36 AM  1000     21092   32.00    6.00    0.00    0.00   38.00    13  talker
10:45:37 AM  1000     21092   31.00    9.00    0.00    0.00   40.00     5  talker
10:45:38 AM  1000     21092   29.00   11.00    0.00    0.00   40.00     6  talker
10:45:39 AM  1000     21092   31.00    9.00    0.00    0.00   40.00     0  talker
10:45:40 AM  1000     21092   30.00   10.00    0.00    0.00   40.00     0  talker
10:45:41 AM  1000     21092   30.00   10.00    0.00    0.00   40.00    15  talker
10:45:42 AM  1000     21092   31.00    9.00    0.00    0.00   40.00    14  talker
10:45:43 AM  1000     21092   29.00   10.00    0.00    0.00   39.00     8  talker
10:45:44 AM  1000     21092   29.00   12.00    0.00    0.00   41.00    11  talker
10:45:45 AM  1000     21092   29.00   10.00    0.00    0.00   39.00    10  talker
10:45:46 AM  1000     21092   29.00   10.00    0.00    0.00   39.00    10  talker
10:45:47 AM  1000     21092   29.00   11.00    0.00    0.00   40.00     6  talker
10:45:48 AM  1000     21092   31.00    9.00    0.00    0.00   40.00    19  talker
10:45:49 AM  1000     21092   27.00   12.00    0.00    0.00   39.00     6  talker
10:45:50 AM  1000     21092   29.00   11.00    0.00    0.00   40.00     0  talker
10:45:51 AM  1000     21092   29.00   10.00    0.00    0.00   39.00    16  talker
10:45:52 AM  1000     21092   27.00   13.00    0.00    0.00   40.00    13  talker
10:45:53 AM  1000     21092   27.00   12.00    0.00    0.00   39.00    14  talker
10:45:54 AM  1000     21092   27.00   13.00    0.00    0.00   40.00    17  talker
10:45:55 AM  1000     21092   29.00   11.00    0.00    0.00   40.00    14  talker
10:45:56 AM  1000     21092   22.00   17.00    0.00    0.00   39.00    10  talker
10:45:57 AM  1000     21092   28.00   12.00    0.00    0.00   40.00    13  talker
10:45:58 AM  1000     21092   26.00   16.00    0.00    0.00   42.00    18  talker
10:45:59 AM  1000     21092   25.00   14.00    0.00    0.00   39.00    16  talker
10:46:00 AM  1000     21092   25.00   15.00    0.00    0.00   40.00     7  talker
10:46:01 AM  1000     21092   24.00   16.00    0.00    0.00   40.00    20  talker
10:46:02 AM  1000     21092   26.00   13.00    0.00    0.00   39.00    10  talker
10:46:03 AM  1000     21092   25.00   15.00    0.00    0.00   40.00     8  talker
10:46:04 AM  1000     21092   29.00   11.00    0.00    0.00   40.00     6  talker
10:46:05 AM  1000     21092   21.00   18.00    0.00    0.00   39.00     7  talker
10:46:06 AM  1000     21092   24.00   17.00    0.00    0.00   41.00     8  talker
10:46:07 AM  1000     21092   21.00   19.00    0.00    0.00   40.00     5  talker
10:46:08 AM  1000     21092   25.00   14.00    0.00    0.00   39.00    18  talker
10:46:09 AM  1000     21092   23.00   18.00    0.00    0.00   41.00    11  talker
10:46:10 AM  1000     21092   26.00   14.00    0.00    0.00   40.00    10  talker
10:46:11 AM  1000     21092   18.00   21.00    0.00    0.00   39.00     4  talker
10:46:12 AM  1000     21092   22.00   18.00    0.00    0.00   40.00    17  talker
10:46:13 AM  1000     21092   25.00   15.00    0.00    0.00   40.00    15  talker
10:46:14 AM  1000     21092   24.00   16.00    0.00    0.00   40.00     2  talker
10:46:15 AM  1000     21092   17.00   22.00    0.00    0.00   39.00     6  talker
10:46:16 AM  1000     21092   26.00   13.00    0.00    0.00   39.00     1  talker
10:46:17 AM  1000     21092   29.00   12.00    0.00    0.00   41.00     6  talker
10:46:18 AM  1000     21092   24.00   16.00    0.00    0.00   40.00    19  talker
10:46:19 AM  1000     21092   24.00   16.00    0.00    0.00   40.00    10  talker
10:46:20 AM  1000     21092   22.00   18.00    0.00    0.00   40.00    17  talker
10:46:21 AM  1000     21092   25.00   16.00    0.00    0.00   41.00     1  talker
10:46:22 AM  1000     21092   21.00   18.00    0.00    0.00   39.00    11  talker
10:46:23 AM  1000     21092   24.00   16.00    0.00    0.00   40.00    17  talker
10:46:24 AM  1000     21092   29.00   11.00    0.00    0.00   40.00     9  talker
10:46:25 AM  1000     21092   23.00   18.00    0.00    0.00   41.00    14  talker
10:46:26 AM  1000     21092   21.00   18.00    0.00    0.00   39.00     8  talker
10:46:27 AM  1000     21092   26.00   14.00    0.00    0.00   40.00    13  talker
10:46:28 AM  1000     21092   22.00   19.00    0.00    0.00   41.00     3  talker
10:46:29 AM  1000     21092   19.00   20.00    0.00    0.00   39.00    18  talker
10:46:30 AM  1000     21092   30.00   10.00    0.00    0.00   40.00     7  talker
10:46:31 AM  1000     21092   26.00   14.00    0.00    0.00   40.00     4  talker
10:46:32 AM  1000     21092   26.00   14.00    0.00    0.00   40.00     9  talker
10:46:33 AM  1000     21092   25.00   16.00    0.00    0.00   41.00    11  talker
10:46:34 AM  1000     21092   25.00   15.00    0.00    0.00   40.00    19  talker
Average:     1000     21092   26.00   13.88    0.00    0.00   39.88     -  talker
