Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

10:07:59 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:08:00 AM  1000     16895   17.00    8.00    0.00    0.00   25.00    19  talker
10:08:01 AM  1000     16895   17.00    8.00    0.00    0.00   25.00    17  talker
10:08:02 AM  1000     16895   22.00    3.00    0.00    0.00   25.00     3  talker
10:08:03 AM  1000     16895   19.00    6.00    0.00    0.00   25.00     1  talker
10:08:04 AM  1000     16895   18.00    6.00    0.00    0.00   24.00    15  talker
10:08:05 AM  1000     16895   18.00    7.00    0.00    0.00   25.00    12  talker
10:08:06 AM  1000     16895   19.00    7.00    0.00    0.00   26.00     2  talker
10:08:07 AM  1000     16895   19.00    6.00    0.00    0.00   25.00    19  talker
10:08:08 AM  1000     16895   19.00    6.00    0.00    0.00   25.00     1  talker
10:08:09 AM  1000     16895   21.00    4.00    0.00    0.00   25.00     7  talker
10:08:10 AM  1000     16895   20.00    6.00    0.00    0.00   26.00    12  talker
10:08:11 AM  1000     16895   19.00    5.00    0.00    0.00   24.00    18  talker
10:08:12 AM  1000     16895   14.00   11.00    0.00    0.00   25.00     0  talker
10:08:13 AM  1000     16895   11.00   13.00    0.00    0.00   24.00    10  talker
10:08:14 AM  1000     16895   11.88   13.86    0.00    0.00   25.74    17  talker
10:08:15 AM  1000     16895   14.00   11.00    0.00    0.00   25.00    16  talker
10:08:16 AM  1000     16895   17.00    9.00    0.00    0.00   26.00     9  talker
10:08:17 AM  1000     16895   14.00   11.00    0.00    0.00   25.00    14  talker
10:08:18 AM  1000     16895   15.00   11.00    0.00    0.00   26.00     8  talker
10:08:19 AM  1000     16895   15.00    9.00    0.00    0.00   24.00     5  talker
10:08:20 AM  1000     16895   15.00   10.00    0.00    0.00   25.00     6  talker
10:08:21 AM  1000     16895   15.00   10.00    0.00    0.00   25.00    15  talker
10:08:22 AM  1000     16895   18.00    7.00    0.00    0.00   25.00    19  talker
10:08:23 AM  1000     16895   16.00    9.00    0.00    0.00   25.00    17  talker
10:08:24 AM  1000     16895   18.00    7.00    0.00    0.00   25.00    11  talker
10:08:25 AM  1000     16895   13.00   11.00    0.00    0.00   24.00    10  talker
10:08:26 AM  1000     16895   19.00    6.00    0.00    0.00   25.00     7  talker
10:08:27 AM  1000     16895   16.00    9.00    0.00    0.00   25.00     1  talker
10:08:28 AM  1000     16895   20.00    5.00    0.00    0.00   25.00     4  talker
10:08:29 AM  1000     16895   16.00    9.00    0.00    0.00   25.00    19  talker
10:08:30 AM  1000     16895   19.00    7.00    0.00    0.00   26.00    11  talker
10:08:31 AM  1000     16895   15.00    9.00    0.00    0.00   24.00     2  talker
10:08:32 AM  1000     16895   16.00   10.00    0.00    0.00   26.00     9  talker
10:08:33 AM  1000     16895   15.00   10.00    0.00    0.00   25.00     4  talker
10:08:34 AM  1000     16895   14.00   11.00    0.00    0.00   25.00    10  talker
10:08:35 AM  1000     16895   17.00    8.00    0.00    0.00   25.00     4  talker
10:08:36 AM  1000     16895   17.00    8.00    0.00    0.00   25.00     1  talker
10:08:37 AM  1000     16895   18.00    7.00    0.00    0.00   25.00    15  talker
10:08:38 AM  1000     16895   18.00    7.00    0.00    0.00   25.00     1  talker
10:08:39 AM  1000     16895   18.00    7.00    0.00    0.00   25.00     9  talker
10:08:40 AM  1000     16895   15.00    9.00    0.00    0.00   24.00     7  talker
10:08:41 AM  1000     16895   16.00   10.00    0.00    0.00   26.00    10  talker
10:08:42 AM  1000     16895   15.00   10.00    0.00    0.00   25.00     2  talker
10:08:43 AM  1000     16895   19.00    5.00    0.00    0.00   24.00    12  talker
10:08:44 AM  1000     16895   17.00    9.00    0.00    0.00   26.00     8  talker
10:08:45 AM  1000     16895   18.00    7.00    0.00    0.00   25.00     7  talker
10:08:46 AM  1000     16895   15.00    9.00    0.00    0.00   24.00     2  talker
10:08:47 AM  1000     16895   15.00    9.00    0.00    0.00   24.00    15  talker
10:08:48 AM  1000     16895   15.00    9.00    0.00    0.00   24.00    17  talker
10:08:49 AM  1000     16895   18.00    7.00    0.00    0.00   25.00    15  talker
10:08:50 AM  1000     16895   14.00   11.00    0.00    0.00   25.00    18  talker
10:08:51 AM  1000     16895   19.00    6.00    0.00    0.00   25.00     5  talker
10:08:52 AM  1000     16895   18.00    6.00    0.00    0.00   24.00     3  talker
10:08:53 AM  1000     16895   17.00    7.00    0.00    0.00   24.00     3  talker
10:08:54 AM  1000     16895   15.00   10.00    0.00    0.00   25.00     2  talker
10:08:55 AM  1000     16895   16.00    9.00    0.00    0.00   25.00     0  talker
10:08:56 AM  1000     16895   17.00    8.00    0.00    0.00   25.00    14  talker
10:08:57 AM  1000     16895   14.00   11.00    0.00    0.00   25.00     6  talker
10:08:58 AM  1000     16895   16.00    8.00    0.00    0.00   24.00    16  talker
10:08:59 AM  1000     16895   20.00    4.00    0.00    0.00   24.00    12  talker
Average:     1000     16895   16.70    8.20    0.00    0.00   24.90     -  talker
