Linux 6.5.0-44-generic (npc2408016) 	06/17/2025 	_x86_64_	(22 CPU)

10:25:21 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:22 AM  1000     18201    3.00    9.00    0.00    0.00   12.00     6  listener
10:25:22 AM  1000     18203    5.00   11.00    0.00    0.00   16.00    14  listener
10:25:22 AM  1000     18205    5.00   10.00    0.00    0.00   15.00    19  listener
10:25:22 AM  1000     18207    3.00   10.00    0.00    0.00   13.00    12  listener
10:25:22 AM  1000     18209    4.00   10.00    0.00    0.00   14.00    18  listener
10:25:22 AM  1000     18211    4.00   10.00    0.00    0.00   14.00    14  listener
10:25:22 AM  1000     18213    7.00    6.00    0.00    0.00   13.00     8  listener
10:25:22 AM  1000     18215    4.00   10.00    0.00    0.00   14.00     0  listener
10:25:22 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:22 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:23 AM  1000     18201    4.00    9.00    0.00    0.00   13.00     9  listener
10:25:23 AM  1000     18203    3.00   11.00    0.00    0.00   14.00    15  listener
10:25:23 AM  1000     18205    3.00   11.00    0.00    0.00   14.00     6  listener
10:25:23 AM  1000     18207    4.00   10.00    0.00    0.00   14.00     4  listener
10:25:23 AM  1000     18209    4.00    9.00    0.00    0.00   13.00     0  listener
10:25:23 AM  1000     18211    4.00   10.00    0.00    0.00   14.00    15  listener
10:25:23 AM  1000     18213    7.00    7.00    0.00    0.00   14.00     8  listener
10:25:23 AM  1000     18215    3.00   10.00    0.00    0.00   13.00    15  listener
10:25:23 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:24 AM  1000     18201    3.00    9.00    0.00    0.00   12.00     9  listener
10:25:24 AM  1000     18203    5.00   11.00    0.00    0.00   16.00     3  listener
10:25:24 AM  1000     18205    5.00   11.00    0.00    0.00   16.00     6  listener
10:25:24 AM  1000     18207    4.00   10.00    0.00    0.00   14.00     4  listener
10:25:24 AM  1000     18209    3.00   10.00    0.00    0.00   13.00    11  listener
10:25:24 AM  1000     18211    4.00   10.00    0.00    0.00   14.00    14  listener
10:25:24 AM  1000     18213    6.00    8.00    0.00    0.00   14.00    19  listener
10:25:24 AM  1000     18215    4.00   10.00    0.00    0.00   14.00     3  listener
10:25:24 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:24 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:25 AM  1000     18201    3.00    9.00    0.00    0.00   12.00     9  listener
10:25:25 AM  1000     18203    4.00   12.00    0.00    0.00   16.00     0  listener
10:25:25 AM  1000     18205    4.00   10.00    0.00    0.00   14.00     6  listener
10:25:25 AM  1000     18207    4.00   10.00    0.00    0.00   14.00     9  listener
10:25:25 AM  1000     18209    4.00   10.00    0.00    0.00   14.00    11  listener
10:25:25 AM  1000     18211    4.00   11.00    0.00    0.00   15.00    14  listener
10:25:25 AM  1000     18213    6.00    7.00    0.00    0.00   13.00    19  listener
10:25:25 AM  1000     18215    4.00   10.00    0.00    0.00   14.00     8  listener
10:25:25 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:25 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:26 AM  1000     18201    4.00    8.00    0.00    0.00   12.00     9  listener
10:25:26 AM  1000     18203    4.00   11.00    0.00    0.00   15.00     0  listener
10:25:26 AM  1000     18205    4.00   11.00    0.00    0.00   15.00     9  listener
10:25:26 AM  1000     18207    4.00   10.00    0.00    0.00   14.00     9  listener
10:25:26 AM  1000     18209    4.00    9.00    0.00    0.00   13.00    11  listener
10:25:26 AM  1000     18211    4.00   10.00    0.00    0.00   14.00    14  listener
10:25:26 AM  1000     18213    7.00    6.00    0.00    0.00   13.00    19  listener
10:25:26 AM  1000     18215    3.00   10.00    0.00    0.00   13.00     9  listener
10:25:26 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:26 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:27 AM  1000     18201    3.00    9.00    0.00    0.00   12.00     9  listener
10:25:27 AM  1000     18203    4.00   11.00    0.00    0.00   15.00     1  listener
10:25:27 AM  1000     18205    4.00   10.00    0.00    0.00   14.00     9  listener
10:25:27 AM  1000     18207    4.00   10.00    0.00    0.00   14.00     9  listener
10:25:27 AM  1000     18209    4.00   10.00    0.00    0.00   14.00    11  listener
10:25:27 AM  1000     18211    3.00   10.00    0.00    0.00   13.00    12  listener
10:25:27 AM  1000     18213    7.00    7.00    0.00    0.00   14.00     8  listener
10:25:27 AM  1000     18215    4.00   10.00    0.00    0.00   14.00     9  listener
10:25:27 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:27 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:28 AM  1000     18201    3.00    9.00    0.00    0.00   12.00     9  listener
10:25:28 AM  1000     18203    5.00   11.00    0.00    0.00   16.00    11  listener
10:25:28 AM  1000     18205    4.00   11.00    0.00    0.00   15.00     9  listener
10:25:28 AM  1000     18207    3.00   10.00    0.00    0.00   13.00     9  listener
10:25:28 AM  1000     18209    3.00    9.00    0.00    0.00   12.00    11  listener
10:25:28 AM  1000     18211    4.00    9.00    0.00    0.00   13.00    15  listener
10:25:28 AM  1000     18213    7.00    6.00    0.00    0.00   13.00    10  listener
10:25:28 AM  1000     18215    4.00   10.00    0.00    0.00   14.00     9  listener
10:25:28 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:28 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:29 AM  1000     18201    4.00    8.00    0.00    0.00   12.00     9  listener
10:25:29 AM  1000     18203    4.00   11.00    0.00    0.00   15.00     1  listener
10:25:29 AM  1000     18205    4.00   10.00    0.00    0.00   14.00     9  listener
10:25:29 AM  1000     18207    4.00   10.00    0.00    0.00   14.00    10  listener
10:25:29 AM  1000     18209    4.00   10.00    0.00    0.00   14.00    11  listener
10:25:29 AM  1000     18211    4.00    9.00    0.00    0.00   13.00    11  listener
10:25:29 AM  1000     18213    7.00    7.00    0.00    0.00   14.00    15  listener
10:25:29 AM  1000     18215    4.00   10.00    0.00    0.00   14.00     9  listener
10:25:29 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:29 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:30 AM  1000     18201    3.00    9.00    0.00    0.00   12.00     9  listener
10:25:30 AM  1000     18203    4.00   11.00    0.00    0.00   15.00    19  listener
10:25:30 AM  1000     18205    4.00   11.00    0.00    0.00   15.00     9  listener
10:25:30 AM  1000     18207    4.00   11.00    0.00    0.00   15.00    19  listener
10:25:30 AM  1000     18209    4.00    9.00    0.00    0.00   13.00    14  listener
10:25:30 AM  1000     18211    3.00    9.00    0.00    0.00   12.00    11  listener
10:25:30 AM  1000     18213    6.00    7.00    0.00    0.00   13.00    15  listener
10:25:30 AM  1000     18215    4.00    9.00    0.00    0.00   13.00     9  listener
10:25:30 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener

10:25:30 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:25:31 AM  1000     18201    4.00    8.00    0.00    0.00   12.00     0  listener
10:25:31 AM  1000     18203    4.00   11.00    0.00    0.00   15.00    19  listener
10:25:31 AM  1000     18205    5.00   10.00    0.00    0.00   15.00    10  listener
10:25:31 AM  1000     18207    4.00    9.00    0.00    0.00   13.00     5  listener
10:25:31 AM  1000     18209    3.00   10.00    0.00    0.00   13.00    11  listener
10:25:31 AM  1000     18211    4.00    9.00    0.00    0.00   13.00    11  listener
10:25:31 AM  1000     18213    7.00    7.00    0.00    0.00   14.00    17  listener
10:25:31 AM  1000     18215    3.00   10.00    0.00    0.00   13.00    13  listener
10:25:31 AM  1000     18217    0.00    0.00    0.00    0.00    0.00    14  listener
