Linux 6.5.0-44-generic (npc2408016) 	06/17/2025 	_x86_64_	(22 CPU)

10:31:17 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:18 AM  1000     20275    6.00    7.00    0.00    0.00   13.00    13  listener
10:31:18 AM  1000     20277    3.00    9.00    0.00    0.00   12.00     0  listener
10:31:18 AM  1000     20279   12.00    2.00    0.00    0.00   14.00     8  listener
10:31:18 AM  1000     20281   10.00    1.00    0.00    0.00   11.00    13  listener
10:31:18 AM  1000     20283   11.00    3.00    0.00    0.00   14.00     1  listener
10:31:18 AM  1000     20285    9.00    6.00    0.00    0.00   15.00    15  listener
10:31:18 AM  1000     20287   16.00    0.00    0.00    0.00   16.00     6  listener
10:31:18 AM  1000     20289   13.00    1.00    0.00    0.00   14.00    15  listener
10:31:18 AM  1000     20291   13.00    2.00    0.00    0.00   15.00     1  listener
10:31:18 AM  1000     20293   10.00    4.00    0.00    0.00   14.00    11  listener
10:31:18 AM  1000     20295    0.00    0.00    0.00    0.00    0.00    10  listener

10:31:18 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:19 AM  1000     20275    4.00    9.00    0.00    0.00   13.00     2  listener
10:31:19 AM  1000     20277    4.00   10.00    0.00    0.00   14.00     0  listener
10:31:19 AM  1000     20279   14.00    1.00    0.00    0.00   15.00     8  listener
10:31:19 AM  1000     20281    6.00    4.00    0.00    0.00   10.00    13  listener
10:31:19 AM  1000     20283    8.00    6.00    0.00    0.00   14.00    15  listener
10:31:19 AM  1000     20285   13.00    1.00    0.00    0.00   14.00     5  listener
10:31:19 AM  1000     20287   12.00    6.00    0.00    0.00   18.00     9  listener
10:31:19 AM  1000     20289    5.00    8.00    0.00    0.00   13.00    15  listener
10:31:19 AM  1000     20291   13.00    1.00    0.00    0.00   14.00    10  listener
10:31:19 AM  1000     20293    2.00   12.00    0.00    0.00   14.00    11  listener
10:31:19 AM  1000     20295    0.00    0.00    0.00    0.00    0.00    10  listener

10:31:19 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:20 AM  1000     20275    0.00   13.00    0.00    0.00   13.00    17  listener
10:31:20 AM  1000     20277    4.00    8.00    0.00    0.00   12.00     1  listener
10:31:20 AM  1000     20279   13.00    1.00    0.00    0.00   14.00     0  listener
10:31:20 AM  1000     20281    7.00    4.00    0.00    0.00   11.00    12  listener
10:31:20 AM  1000     20283   10.00    3.00    0.00    0.00   13.00    18  listener
10:31:20 AM  1000     20285   13.00    2.00    0.00    0.00   15.00    17  listener
10:31:20 AM  1000     20287   13.00    3.00    0.00    0.00   16.00     9  listener
10:31:20 AM  1000     20289   13.00    1.00    0.00    0.00   14.00    15  listener
10:31:20 AM  1000     20291    8.00    5.00    0.00    0.00   13.00    10  listener
10:31:20 AM  1000     20293   12.00    3.00    0.00    0.00   15.00     4  listener
10:31:20 AM  1000     20295    0.00    0.00    0.00    0.00    0.00    10  listener

10:31:20 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:21 AM  1000     20275    7.00    7.00    0.00    0.00   14.00    16  listener
10:31:21 AM  1000     20277    4.00    9.00    0.00    0.00   13.00     1  listener
10:31:21 AM  1000     20279    8.00    6.00    0.00    0.00   14.00     6  listener
10:31:21 AM  1000     20281    8.00    4.00    0.00    0.00   12.00    10  listener
10:31:21 AM  1000     20283    7.00    6.00    0.00    0.00   13.00     0  listener
10:31:21 AM  1000     20285   12.00    2.00    0.00    0.00   14.00    17  listener
10:31:21 AM  1000     20287   12.00    6.00    0.00    0.00   18.00     8  listener
10:31:21 AM  1000     20289   12.00    1.00    0.00    0.00   13.00    19  listener
10:31:21 AM  1000     20291    9.00    6.00    0.00    0.00   15.00    14  listener
10:31:21 AM  1000     20293    9.00    4.00    0.00    0.00   13.00     7  listener
10:31:21 AM  1000     20295    0.00    0.00    0.00    0.00    0.00    10  listener

10:31:21 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:22 AM  1000     20275    5.00    8.00    0.00    0.00   13.00    17  listener
10:31:22 AM  1000     20277    4.00    8.00    0.00    0.00   12.00    11  listener
10:31:22 AM  1000     20279   14.00    1.00    0.00    0.00   15.00    19  listener
10:31:22 AM  1000     20281    9.00    1.00    0.00    0.00   10.00    10  listener
10:31:22 AM  1000     20283   13.00    0.00    0.00    0.00   13.00     2  listener
10:31:22 AM  1000     20285   12.00    3.00    0.00    0.00   15.00    19  listener
10:31:22 AM  1000     20287   15.00    1.00    0.00    0.00   16.00     9  listener
10:31:22 AM  1000     20289   12.00    2.00    0.00    0.00   14.00     0  listener
10:31:22 AM  1000     20291   10.00    4.00    0.00    0.00   14.00    14  listener
10:31:22 AM  1000     20293   12.00    4.00    0.00    0.00   16.00     7  listener
10:31:22 AM  1000     20295    0.00    0.00    0.00    0.00    0.00    10  listener

10:31:22 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:23 AM  1000     20275    6.00    8.00    0.00    0.00   14.00    18  listener
10:31:23 AM  1000     20277    4.00    9.00    0.00    0.00   13.00    12  listener
10:31:23 AM  1000     20279   13.00    0.00    0.00    0.00   13.00     0  listener
10:31:23 AM  1000     20281   10.00    2.00    0.00    0.00   12.00    14  listener
10:31:23 AM  1000     20283    8.00    5.00    0.00    0.00   13.00     2  listener
10:31:23 AM  1000     20285   12.00    2.00    0.00    0.00   14.00     1  listener
10:31:23 AM  1000     20287   14.00    4.00    0.00    0.00   18.00    15  listener
10:31:23 AM  1000     20289    9.00    5.00    0.00    0.00   14.00     0  listener
10:31:23 AM  1000     20291   10.00    4.00    0.00    0.00   14.00    13  listener
10:31:23 AM  1000     20293   11.00    3.00    0.00    0.00   14.00    15  listener
10:31:23 AM  1000     20295    0.00    0.00    0.00    0.00    0.00    10  listener

10:31:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:24 AM  1000     20275    5.00    8.00    0.00    0.00   13.00     6  listener
10:31:24 AM  1000     20277    4.00   10.00    0.00    0.00   14.00    16  listener
10:31:24 AM  1000     20279   11.00    3.00    0.00    0.00   14.00     0  listener
10:31:24 AM  1000     20281    7.00    4.00    0.00    0.00   11.00    14  listener
10:31:24 AM  1000     20283   11.00    2.00    0.00    0.00   13.00     6  listener
10:31:24 AM  1000     20285    5.00   10.00    0.00    0.00   15.00     1  listener
10:31:24 AM  1000     20287   14.00    3.00    0.00    0.00   17.00    15  listener
10:31:24 AM  1000     20289   13.00    0.00    0.00    0.00   13.00    19  listener
10:31:24 AM  1000     20291   12.00    2.00    0.00    0.00   14.00    14  listener
10:31:24 AM  1000     20293   14.00    0.00    0.00    0.00   14.00    15  listener
10:31:24 AM  1000     20295    0.00    0.00    0.00    0.00    0.00    10  listener

10:31:24 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
