Linux 6.5.0-44-generic (npc2408016) 	07/01/2025 	_x86_64_	(22 CPU)

11:55:54 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:55:55 AM  1000     26620    0.00    0.00    0.00    0.00    0.00     9  talker
11:55:55 AM  1000     26622    0.00    0.00    0.00    0.00    0.00     9  talker
11:55:55 AM  1000     26624    0.00    0.00    0.00    0.00    0.00     9  talker
11:55:55 AM  1000     26626    1.00    0.00    0.00    0.00    1.00     9  talker
11:55:55 AM  1000     26628    0.00    0.00    0.00    0.00    0.00     1  talker
11:55:55 AM  1000     26630    0.00    1.00    0.00    0.00    1.00    11  talker
11:55:55 AM  1000     26632    0.00    0.00    0.00    0.00    0.00     8  talker
11:55:55 AM  1000     26634    0.00    1.00    0.00    0.00    1.00    15  talker
11:55:55 AM  1000     26636    0.00    0.00    0.00    0.00    0.00    18  talker

11:55:55 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:55:56 AM  1000     26620    0.00    1.00    0.00    0.00    1.00    10  talker
11:55:56 AM  1000     26622    0.00    1.00    0.00    0.00    1.00    14  talker
11:55:56 AM  1000     26624    0.00    1.00    0.00    0.00    1.00     9  talker
11:55:56 AM  1000     26626    0.00    1.00    0.00    0.00    1.00     9  talker
11:55:56 AM  1000     26628    1.00    1.00    0.00    0.00    2.00     2  talker
11:55:56 AM  1000     26630    1.00    0.00    0.00    0.00    1.00    11  talker
11:55:56 AM  1000     26632    1.00    1.00    0.00    0.00    2.00     3  talker
11:55:56 AM  1000     26634    0.00    1.00    0.00    0.00    1.00    13  talker
11:55:56 AM  1000     26636    0.00    0.00    0.00    0.00    0.00    18  talker

11:55:56 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:55:57 AM  1000     26620    1.00    0.00    0.00    0.00    1.00     9  talker
11:55:57 AM  1000     26622    0.00    1.00    0.00    0.00    1.00    10  talker
11:55:57 AM  1000     26624    1.00    0.00    0.00    0.00    1.00     9  talker
11:55:57 AM  1000     26626    1.00    0.00    0.00    0.00    1.00     3  talker
