Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

09:49:14 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:49:15 AM  1000     15642   27.00    5.00    0.00    0.00   32.00    19  listener
09:49:16 AM  1000     15642   29.00    3.00    0.00    0.00   32.00     0  listener
09:49:17 AM  1000     15642   28.00    4.00    0.00    0.00   32.00     0  listener
09:49:18 AM  1000     15642   25.00    4.00    0.00    0.00   29.00     0  listener
09:49:19 AM  1000     15642   25.00    5.00    0.00    0.00   30.00     3  listener
09:49:20 AM  1000     15642   28.00    5.00    0.00    0.00   33.00     3  listener
09:49:21 AM  1000     15642   26.00    3.00    0.00    0.00   29.00     3  listener
09:49:22 AM  1000     15642   26.00    4.00    0.00    0.00   30.00     0  listener
09:49:23 AM  1000     15642   25.00    5.00    0.00    0.00   30.00     8  listener
09:49:24 AM  1000     15642   26.00    6.00    0.00    0.00   32.00     0  listener
09:49:25 AM  1000     15642   25.00    6.00    0.00    0.00   31.00     0  listener
09:49:26 AM  1000     15642   24.00    5.00    0.00    0.00   29.00     0  listener
09:49:27 AM  1000     15642   23.00    8.00    0.00    0.00   31.00     0  listener
09:49:28 AM  1000     15642   23.00    7.00    0.00    0.00   30.00     0  listener
09:49:29 AM  1000     15642   26.00    3.00    0.00    0.00   29.00     0  listener
09:49:30 AM  1000     15642   23.00    8.00    0.00    0.00   31.00     0  listener
09:49:31 AM  1000     15642   26.00    4.00    0.00    0.00   30.00     0  listener
09:49:32 AM  1000     15642   27.00    4.00    0.00    0.00   31.00     0  listener
09:49:33 AM  1000     15642   28.00    3.00    0.00    0.00   31.00     0  listener
09:49:34 AM  1000     15642   21.00    9.00    0.00    0.00   30.00     0  listener
09:49:35 AM  1000     15642   28.00    3.00    0.00    0.00   31.00     0  listener
09:49:36 AM  1000     15642   26.00    4.00    0.00    0.00   30.00     0  listener
09:49:37 AM  1000     15642   26.00    5.00    0.00    0.00   31.00     8  listener
09:49:38 AM  1000     15642   24.00    5.00    0.00    0.00   29.00     8  listener
09:49:39 AM  1000     15642   25.00    7.00    0.00    0.00   32.00    14  listener
09:49:40 AM  1000     15642   26.00    4.00    0.00    0.00   30.00    14  listener
09:49:41 AM  1000     15642   27.00    4.00    0.00    0.00   31.00    14  listener
09:49:42 AM  1000     15642   21.00    9.00    0.00    0.00   30.00     8  listener
09:49:43 AM  1000     15642   30.00    3.00    0.00    0.00   33.00     8  listener
09:49:44 AM  1000     15642   23.00    8.00    0.00    0.00   31.00     8  listener
09:49:45 AM  1000     15642   27.00    7.00    0.00    0.00   34.00     8  listener
09:49:46 AM  1000     15642   26.00    3.00    0.00    0.00   29.00     8  listener
09:49:47 AM  1000     15642   25.00    4.00    0.00    0.00   29.00     8  listener
09:49:48 AM  1000     15642   21.00   10.00    0.00    0.00   31.00     3  listener
09:49:49 AM  1000     15642   28.00    3.00    0.00    0.00   31.00     3  listener
09:49:50 AM  1000     15642   25.00    7.00    0.00    0.00   32.00     8  listener
09:49:51 AM  1000     15642   25.00    4.00    0.00    0.00   29.00     8  listener
09:49:52 AM  1000     15642   16.00   14.00    0.00    0.00   30.00     8  listener
09:49:53 AM  1000     15642   23.00    7.00    0.00    0.00   30.00     7  listener
09:49:54 AM  1000     15642   22.00    8.00    0.00    0.00   30.00     7  listener
09:49:55 AM  1000     15642   25.00    6.00    0.00    0.00   31.00     8  listener
09:49:56 AM  1000     15642   24.00    7.00    0.00    0.00   31.00     8  listener
09:49:57 AM  1000     15642   20.00    8.00    0.00    0.00   28.00     7  listener
09:49:58 AM  1000     15642   26.00    4.00    0.00    0.00   30.00     7  listener
09:49:59 AM  1000     15642   25.00    7.00    0.00    0.00   32.00     7  listener
09:50:00 AM  1000     15642   27.00    4.00    0.00    0.00   31.00     7  listener
09:50:01 AM  1000     15642   25.00    5.00    0.00    0.00   30.00    18  listener
09:50:02 AM  1000     15642   27.00    5.00    0.00    0.00   32.00    19  listener
09:50:03 AM  1000     15642   29.00    0.00    0.00    0.00   29.00    19  listener
09:50:04 AM  1000     15642   21.00    9.00    0.00    0.00   30.00    18  listener
09:50:05 AM  1000     15642   20.00   10.00    0.00    0.00   30.00    19  listener
09:50:06 AM  1000     15642   21.00    9.00    0.00    0.00   30.00    19  listener
09:50:07 AM  1000     15642   21.00   11.00    0.00    0.00   32.00    18  listener
09:50:08 AM  1000     15642   25.00    5.00    0.00    0.00   30.00    18  listener
09:50:09 AM  1000     15642   25.00    5.00    0.00    0.00   30.00    18  listener
09:50:10 AM  1000     15642   21.00    8.00    0.00    0.00   29.00    18  listener
09:50:11 AM  1000     15642   23.00    7.00    0.00    0.00   30.00    18  listener
09:50:12 AM  1000     15642   26.00    6.00    0.00    0.00   32.00    12  listener
09:50:13 AM  1000     15642   21.00    8.00    0.00    0.00   29.00    12  listener
09:50:14 AM  1000     15642   25.00    5.00    0.00    0.00   30.00    12  listener
Average:     1000     15642   24.70    5.82    0.00    0.00   30.52     -  listener
