Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

10:49:47 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:49:48 AM  1000     21630   21.00   50.00    0.00    0.00   71.00    15  listener
10:49:49 AM  1000     21630   21.00   51.00    0.00    0.00   72.00    15  listener
10:49:50 AM  1000     21630   20.00   51.00    0.00    0.00   71.00    15  listener
10:49:51 AM  1000     21630   20.00   52.00    0.00    0.00   72.00    18  listener
10:49:52 AM  1000     21630   20.00   51.00    0.00    0.00   71.00    15  listener
10:49:53 AM  1000     21630   24.00   48.00    0.00    0.00   72.00    15  listener
10:49:54 AM  1000     21630   17.00   54.00    0.00    0.00   71.00    15  listener
10:49:55 AM  1000     21630   20.00   52.00    0.00    0.00   72.00     3  listener
10:49:56 AM  1000     21630   22.00   48.00    0.00    0.00   70.00    18  listener
10:49:57 AM  1000     21630   21.00   52.00    0.00    0.00   73.00     3  listener
10:49:58 AM  1000     21630   20.00   51.00    0.00    0.00   71.00    18  listener
10:49:59 AM  1000     21630   20.00   51.00    0.00    0.00   71.00    18  listener
10:50:00 AM  1000     21630   19.00   52.00    0.00    0.00   71.00    19  listener
10:50:01 AM  1000     21630   19.00   52.00    0.00    0.00   71.00    19  listener
10:50:02 AM  1000     21630   18.00   56.00    0.00    0.00   74.00    19  listener
10:50:03 AM  1000     21630   19.00   53.00    0.00    0.00   72.00    19  listener
10:50:04 AM  1000     21630   20.00   52.00    0.00    0.00   72.00     0  listener
10:50:05 AM  1000     21630   20.00   51.00    0.00    0.00   71.00     0  listener
10:50:06 AM  1000     21630   18.00   53.00    0.00    0.00   71.00     9  listener
10:50:07 AM  1000     21630   23.00   50.00    0.00    0.00   73.00    10  listener
10:50:08 AM  1000     21630   17.00   53.00    0.00    0.00   70.00    10  listener
10:50:09 AM  1000     21630   20.00   51.00    0.00    0.00   71.00    10  listener
10:50:10 AM  1000     21630   21.00   50.00    0.00    0.00   71.00    10  listener
10:50:11 AM  1000     21630   17.00   55.00    0.00    0.00   72.00    10  listener
10:50:12 AM  1000     21630   17.00   54.00    0.00    0.00   71.00     9  listener
10:50:13 AM  1000     21630   19.00   51.00    0.00    0.00   70.00     9  listener
10:50:14 AM  1000     21630   17.00   55.00    0.00    0.00   72.00     9  listener
10:50:15 AM  1000     21630   17.00   54.00    0.00    0.00   71.00     9  listener
10:50:16 AM  1000     21630   22.00   50.00    0.00    0.00   72.00     9  listener
10:50:17 AM  1000     21630   18.81   50.50    0.00    0.00   69.31     9  listener
10:50:18 AM  1000     21630   20.20   52.53    0.00    0.00   72.73     9  listener
10:50:19 AM  1000     21630   20.79   50.50    0.00    0.00   71.29     9  listener
10:50:20 AM  1000     21630   20.00   52.00    0.00    0.00   72.00     9  listener
10:50:21 AM  1000     21630   18.00   54.00    0.00    0.00   72.00     9  listener
10:50:22 AM  1000     21630   19.00   52.00    0.00    0.00   71.00     9  listener
10:50:23 AM  1000     21630   16.00   56.00    0.00    0.00   72.00     9  listener
10:50:24 AM  1000     21630   19.00   53.00    0.00    0.00   72.00     9  listener
10:50:25 AM  1000     21630   19.00   52.00    0.00    0.00   71.00     3  listener
10:50:26 AM  1000     21630   14.00   56.00    0.00    0.00   70.00     3  listener
10:50:27 AM  1000     21630   22.00   50.00    0.00    0.00   72.00     9  listener
10:50:28 AM  1000     21630   20.00   51.00    0.00    0.00   71.00     3  listener
10:50:29 AM  1000     21630   18.00   53.00    0.00    0.00   71.00     9  listener
10:50:30 AM  1000     21630   21.00   50.00    0.00    0.00   71.00     9  listener
10:50:31 AM  1000     21630   20.00   52.00    0.00    0.00   72.00     9  listener
10:50:32 AM  1000     21630   22.00   50.00    0.00    0.00   72.00    16  listener
10:50:33 AM  1000     21630   19.00   52.00    0.00    0.00   71.00    16  listener
10:50:34 AM  1000     21630   19.00   52.00    0.00    0.00   71.00    17  listener
10:50:35 AM  1000     21630   18.00   53.00    0.00    0.00   71.00    17  listener
10:50:36 AM  1000     21630   17.00   55.00    0.00    0.00   72.00    16  listener
10:50:37 AM  1000     21630   19.00   53.00    0.00    0.00   72.00    16  listener
10:50:38 AM  1000     21630   19.00   52.00    0.00    0.00   71.00    16  listener
10:50:39 AM  1000     21630   22.00   50.00    0.00    0.00   72.00    12  listener
10:50:40 AM  1000     21630   21.00   51.00    0.00    0.00   72.00    13  listener
10:50:41 AM  1000     21630   17.00   55.00    0.00    0.00   72.00    13  listener
10:50:42 AM  1000     21630   19.00   53.00    0.00    0.00   72.00    13  listener
10:50:43 AM  1000     21630   15.00   58.00    0.00    0.00   73.00    13  listener
10:50:44 AM  1000     21630   21.00   50.00    0.00    0.00   71.00    11  listener
10:50:45 AM  1000     21630   21.00   52.00    0.00    0.00   73.00    11  listener
10:50:46 AM  1000     21630   18.00   53.00    0.00    0.00   71.00    11  listener
10:50:47 AM  1000     21630   19.00   53.00    0.00    0.00   72.00    11  listener
Average:     1000     21630   19.35   52.16    0.00    0.00   71.50     -  listener
