Linux 6.5.0-44-generic (npc2408016) 	06/17/2025 	_x86_64_	(22 CPU)

10:35:59 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:00 AM  1000     21928    3.96    1.98    0.00    0.00    5.94    12  talker
10:36:00 AM  1000     21930    1.98    4.95    0.00    0.00    6.93     7  talker
10:36:00 AM  1000     21932    2.97    2.97    0.00    0.00    5.94     6  talker
10:36:00 AM  1000     21934    5.94    0.00    0.00    0.00    5.94     4  talker
10:36:00 AM  1000     21936    1.98    4.95    0.00    0.00    6.93     4  talker
10:36:00 AM  1000     21938    1.98    3.96    0.00    0.00    5.94     1  talker
10:36:00 AM  1000     21940    4.95    0.99    0.00    0.00    5.94    10  talker
10:36:00 AM  1000     21942    0.99    4.95    0.00    0.00    5.94    10  talker
10:36:00 AM  1000     21944    2.97    2.97    0.00    0.00    5.94     1  talker
10:36:00 AM  1000     21946    4.95    0.00    0.00    0.00    4.95     8  talker
10:36:00 AM  1000     21948    4.95    2.97    0.00    0.00    7.92     7  talker

10:36:00 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:01 AM  1000     21928    3.00    3.00    0.00    0.00    6.00    15  talker
10:36:01 AM  1000     21930    3.00    5.00    0.00    0.00    8.00     2  talker
10:36:01 AM  1000     21932    5.00    3.00    0.00    0.00    8.00     3  talker
10:36:01 AM  1000     21934    5.00    0.00    0.00    0.00    5.00     0  talker
10:36:01 AM  1000     21936    2.00    4.00    0.00    0.00    6.00     3  talker
10:36:01 AM  1000     21938    3.00    3.00    0.00    0.00    6.00     3  talker
10:36:01 AM  1000     21940    2.00    4.00    0.00    0.00    6.00    12  talker
10:36:01 AM  1000     21942    4.00    1.00    0.00    0.00    5.00    10  talker
10:36:01 AM  1000     21944    5.00    1.00    0.00    0.00    6.00     8  talker
10:36:01 AM  1000     21946    3.00    3.00    0.00    0.00    6.00    14  talker
10:36:01 AM  1000     21948    5.00    2.00    0.00    0.00    7.00     7  talker

10:36:01 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:02 AM  1000     21928    4.00    2.00    0.00    0.00    6.00    13  talker
10:36:02 AM  1000     21930    3.00    4.00    0.00    0.00    7.00     2  talker
10:36:02 AM  1000     21932    4.00    2.00    0.00    0.00    6.00    14  talker
10:36:02 AM  1000     21934    6.00    0.00    0.00    0.00    6.00    10  talker
10:36:02 AM  1000     21936    2.00    3.00    0.00    0.00    5.00     9  talker
10:36:02 AM  1000     21938    0.00    6.00    0.00    0.00    6.00     8  talker
10:36:02 AM  1000     21940    3.00    3.00    0.00    0.00    6.00    14  talker
10:36:02 AM  1000     21942    3.00    2.00    0.00    0.00    5.00    12  talker
10:36:02 AM  1000     21944    1.00    5.00    0.00    0.00    6.00    12  talker
10:36:02 AM  1000     21946    0.00    5.00    0.00    0.00    5.00    13  talker
10:36:02 AM  1000     21948    4.00    2.00    0.00    0.00    6.00     4  talker

10:36:02 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:03 AM  1000     21928    3.00    2.00    0.00    0.00    5.00    14  talker
10:36:03 AM  1000     21930    2.00    4.00    0.00    0.00    6.00     9  talker
10:36:03 AM  1000     21932    4.00    2.00    0.00    0.00    6.00    15  talker
10:36:03 AM  1000     21934    5.00    0.00    0.00    0.00    5.00     8  talker
10:36:03 AM  1000     21936    3.00    3.00    0.00    0.00    6.00     0  talker
10:36:03 AM  1000     21938    3.00    3.00    0.00    0.00    6.00     6  talker
10:36:03 AM  1000     21940    5.00    1.00    0.00    0.00    6.00     6  talker
10:36:03 AM  1000     21942    3.00    2.00    0.00    0.00    5.00    11  talker
10:36:03 AM  1000     21944    2.00    4.00    0.00    0.00    6.00     5  talker
10:36:03 AM  1000     21946    1.00    5.00    0.00    0.00    6.00    10  talker
10:36:03 AM  1000     21948    5.00    2.00    0.00    0.00    7.00    13  talker

10:36:03 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:04 AM  1000     21928    4.00    3.00    0.00    1.00    7.00    12  talker
10:36:04 AM  1000     21930    4.00    2.00    0.00    0.00    6.00     7  talker
10:36:04 AM  1000     21932    4.00    3.00    0.00    0.00    7.00    14  talker
10:36:04 AM  1000     21934    6.00    0.00    0.00    0.00    6.00     1  talker
10:36:04 AM  1000     21936    4.00    2.00    0.00    0.00    6.00     7  talker
10:36:04 AM  1000     21938    1.00    6.00    0.00    0.00    7.00    16  talker
10:36:04 AM  1000     21940    4.00    3.00    0.00    0.00    7.00     3  talker
10:36:04 AM  1000     21942    1.00    5.00    0.00    0.00    6.00     2  talker
10:36:04 AM  1000     21944    3.00    3.00    0.00    0.00    6.00     1  talker
10:36:04 AM  1000     21946    4.00    1.00    0.00    1.00    5.00     6  talker
10:36:04 AM  1000     21948    5.00    2.00    0.00    0.00    7.00     3  talker

10:36:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:05 AM  1000     21928    3.00    2.00    0.00    0.00    5.00    17  talker
10:36:05 AM  1000     21930    7.00    1.00    0.00    0.00    8.00     6  talker
10:36:05 AM  1000     21932    5.00    2.00    0.00    0.00    7.00    10  talker
10:36:05 AM  1000     21934    5.00    0.00    0.00    0.00    5.00     5  talker
10:36:05 AM  1000     21936    4.00    2.00    0.00    0.00    6.00    13  talker
10:36:05 AM  1000     21938    1.00    4.00    0.00    0.00    5.00     1  talker
10:36:05 AM  1000     21940    3.00    2.00    0.00    0.00    5.00    10  talker
10:36:05 AM  1000     21942    1.00    5.00    0.00    0.00    6.00    14  talker
10:36:05 AM  1000     21944    1.00    4.00    0.00    0.00    5.00    12  talker
10:36:05 AM  1000     21946    4.00    2.00    0.00    0.00    6.00    10  talker
10:36:05 AM  1000     21948    5.00    2.00    0.00    0.00    7.00    10  talker

10:36:05 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:06 AM  1000     21928    4.00    2.00    0.00    0.00    6.00    17  talker
10:36:06 AM  1000     21930    6.00    1.00    0.00    0.00    7.00    10  talker
10:36:06 AM  1000     21932    4.00    2.00    0.00    0.00    6.00     3  talker
10:36:06 AM  1000     21934    6.00    0.00    0.00    0.00    6.00     4  talker
10:36:06 AM  1000     21936    4.00    2.00    0.00    0.00    6.00     7  talker
10:36:06 AM  1000     21938    6.00    1.00    0.00    0.00    7.00    13  talker
10:36:06 AM  1000     21940    2.00    4.00    0.00    0.00    6.00     8  talker
10:36:06 AM  1000     21942    2.00    3.00    0.00    0.00    5.00     3  talker
10:36:06 AM  1000     21944    2.00    5.00    0.00    0.00    7.00     0  talker
10:36:06 AM  1000     21946    3.00    2.00    0.00    0.00    5.00     7  talker
10:36:06 AM  1000     21948    5.00    2.00    0.00    0.00    7.00     9  talker

10:36:06 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:07 AM  1000     21928    3.00    3.00    0.00    0.00    6.00    10  talker
10:36:07 AM  1000     21930    3.00    3.00    0.00    0.00    6.00    11  talker
10:36:07 AM  1000     21932    4.00    3.00    0.00    0.00    7.00    17  talker
10:36:07 AM  1000     21934    5.00    0.00    0.00    0.00    5.00     5  talker
10:36:07 AM  1000     21936    4.00    2.00    0.00    0.00    6.00     2  talker
10:36:07 AM  1000     21938    2.00    3.00    0.00    0.00    5.00     6  talker
10:36:07 AM  1000     21940    3.00    3.00    0.00    0.00    6.00     8  talker
10:36:07 AM  1000     21942    4.00    1.00    0.00    0.00    5.00    11  talker
10:36:07 AM  1000     21944    3.00    3.00    0.00    0.00    6.00     9  talker
10:36:07 AM  1000     21946    2.00    3.00    0.00    0.00    5.00     1  talker
10:36:07 AM  1000     21948    5.00    2.00    0.00    0.00    7.00     7  talker

10:36:07 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:36:08 AM  1000     21928    4.00    2.00    0.00    0.00    6.00    19  talker
10:36:08 AM  1000     21930    5.00    2.00    0.00    0.00    7.00     7  talker
10:36:08 AM  1000     21932    4.00    2.00    0.00    0.00    6.00     6  talker
10:36:08 AM  1000     21934    6.00    0.00    0.00    0.00    6.00     7  talker
10:36:08 AM  1000     21936    3.00    3.00    0.00    0.00    6.00     2  talker
