Linux 6.5.0-44-generic (npc2408016) 	06/25/2025 	_x86_64_	(22 CPU)

08:33:20 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:33:21 AM  1000      7005   26.00    9.00    0.00    0.00   35.00     4  talker
08:33:22 AM  1000      7005   24.00   11.00    0.00    0.00   35.00     4  talker
08:33:23 AM  1000      7005   32.00    3.00    0.00    0.00   35.00     4  talker
08:33:24 AM  1000      7005   22.00   13.00    0.00    0.00   35.00     4  talker
08:33:25 AM  1000      7005   27.00    8.00    0.00    0.00   35.00     1  talker
08:33:26 AM  1000      7005   27.00    8.00    0.00    0.00   35.00     1  talker
08:33:27 AM  1000      7005   26.00    9.00    0.00    0.00   35.00     9  talker
08:33:28 AM  1000      7005   29.00    6.00    0.00    0.00   35.00     5  talker
08:33:29 AM  1000      7005   30.00    5.00    0.00    0.00   35.00     1  talker
08:33:30 AM  1000      7005   31.00    4.00    0.00    0.00   35.00     5  talker
08:33:31 AM  1000      7005   27.00    8.00    0.00    0.00   35.00     6  talker
08:33:32 AM  1000      7005   22.00   13.00    0.00    0.00   35.00     4  talker
08:33:33 AM  1000      7005   31.00    5.00    0.00    0.00   36.00     4  talker
08:33:34 AM  1000      7005   31.00    4.00    0.00    0.00   35.00     3  talker
08:33:35 AM  1000      7005   29.00    6.00    0.00    0.00   35.00     4  talker
08:33:36 AM  1000      7005   30.00    7.00    0.00    0.00   37.00     1  talker
08:33:37 AM  1000      7005   25.00    9.00    0.00    0.00   34.00     4  talker
08:33:38 AM  1000      7005   29.00    6.00    0.00    0.00   35.00     8  talker
08:33:39 AM  1000      7005   29.00    7.00    0.00    0.00   36.00     5  talker
08:33:40 AM  1000      7005   29.00    7.00    0.00    0.00   36.00     3  talker
08:33:41 AM  1000      7005   30.00    5.00    0.00    0.00   35.00     4  talker
08:33:42 AM  1000      7005   30.00    5.00    0.00    0.00   35.00     5  talker
08:33:43 AM  1000      7005   25.00   11.00    0.00    0.00   36.00     6  talker
08:33:44 AM  1000      7005   28.00    6.00    0.00    0.00   34.00     2  talker
08:33:45 AM  1000      7005   26.00   10.00    0.00    0.00   36.00    10  talker
08:33:46 AM  1000      7005   26.00    8.00    0.00    0.00   34.00     1  talker
08:33:47 AM  1000      7005   27.00   11.00    0.00    0.00   38.00     6  talker
08:33:48 AM  1000      7005   27.00    8.00    0.00    0.00   35.00     4  talker
08:33:49 AM  1000      7005   28.00    8.00    0.00    0.00   36.00     4  talker
08:33:50 AM  1000      7005   26.00    8.00    0.00    0.00   34.00     4  talker
08:33:51 AM  1000      7005   29.00    7.00    0.00    0.00   36.00     0  talker
08:33:52 AM  1000      7005   27.00    8.00    0.00    0.00   35.00     1  talker
08:33:53 AM  1000      7005   29.00    7.00    0.00    0.00   36.00    16  talker
08:33:54 AM  1000      7005   26.00    9.00    0.00    0.00   35.00     8  talker
08:33:55 AM  1000      7005   24.00   10.00    0.00    0.00   34.00     4  talker
08:33:56 AM  1000      7005   29.00    6.00    0.00    0.00   35.00     3  talker
08:33:57 AM  1000      7005   23.00   12.00    0.00    0.00   35.00     0  talker
08:33:58 AM  1000      7005   25.00   11.00    0.00    0.00   36.00     4  talker
08:33:59 AM  1000      7005   25.00   10.00    0.00    0.00   35.00     5  talker
08:34:00 AM  1000      7005   22.00   13.00    0.00    0.00   35.00     3  talker
08:34:01 AM  1000      7005   23.00   11.00    0.00    0.00   34.00     4  talker
08:34:02 AM  1000      7005   30.00    6.00    0.00    0.00   36.00     3  talker
08:34:03 AM  1000      7005   26.00    9.00    0.00    0.00   35.00     6  talker
08:34:04 AM  1000      7005   24.00   10.00    0.00    0.00   34.00     1  talker
08:34:05 AM  1000      7005   29.00    7.00    0.00    0.00   36.00     1  talker
08:34:06 AM  1000      7005   22.00   12.00    0.00    0.00   34.00     5  talker
08:34:07 AM  1000      7005   30.00    5.00    0.00    0.00   35.00     3  talker
08:34:08 AM  1000      7005   22.00   13.00    0.00    0.00   35.00     5  talker
08:34:09 AM  1000      7005   22.00   13.00    0.00    0.00   35.00     1  talker
08:34:10 AM  1000      7005   24.00   10.00    0.00    0.00   34.00     1  talker
08:34:11 AM  1000      7005   24.00   12.00    0.00    0.00   36.00     5  talker
08:34:12 AM  1000      7005   25.00   11.00    0.00    0.00   36.00     3  talker
08:34:13 AM  1000      7005   30.00    4.00    0.00    0.00   34.00     3  talker
08:34:14 AM  1000      7005   27.00    8.00    0.00    0.00   35.00     3  talker
08:34:15 AM  1000      7005   31.00    4.00    0.00    0.00   35.00     5  talker
08:34:16 AM  1000      7005   26.00    9.00    0.00    0.00   35.00     1  talker
08:34:17 AM  1000      7005   28.00    7.00    0.00    0.00   35.00     3  talker
08:34:18 AM  1000      7005   26.00   10.00    0.00    0.00   36.00     3  talker
08:34:19 AM  1000      7005   30.00    5.00    0.00    0.00   35.00     1  talker
08:34:20 AM  1000      7005   33.00    4.00    0.00    0.00   37.00     3  talker
Average:     1000      7005   27.00    8.18    0.00    0.00   35.18     -  talker
