Linux 6.5.0-44-generic (npc2408016) 	06/20/2025 	_x86_64_	(22 CPU)

09:00:44 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:00:45 AM  1000     53805   25.00   16.00    0.00    0.00   41.00     2  talker
09:00:46 AM  1000     53805   27.00   15.00    0.00    0.00   42.00     9  talker
09:00:47 AM  1000     53805   26.00   16.00    0.00    0.00   42.00     3  talker
09:00:48 AM  1000     53805   24.00   17.00    0.00    0.00   41.00     1  talker
09:00:49 AM  1000     53805   27.00   15.00    0.00    0.00   42.00    14  talker
09:00:50 AM  1000     53805   30.00   12.00    0.00    0.00   42.00    10  talker
09:00:51 AM  1000     53805   29.00   13.00    0.00    0.00   42.00    11  talker
09:00:52 AM  1000     53805   31.00   11.00    0.00    0.00   42.00    13  talker
09:00:53 AM  1000     53805   32.00   10.00    0.00    0.00   42.00     2  talker
09:00:54 AM  1000     53805   28.00   14.00    0.00    0.00   42.00     6  talker
09:00:55 AM  1000     53805   32.00    9.00    0.00    0.00   41.00    13  talker
09:00:56 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     6  talker
09:00:57 AM  1000     53805   31.00   11.00    0.00    0.00   42.00    18  talker
09:00:58 AM  1000     53805   33.00   10.00    0.00    0.00   43.00     4  talker
09:00:59 AM  1000     53805   33.00    8.00    0.00    0.00   41.00     6  talker
09:01:00 AM  1000     53805   30.00   11.00    0.00    0.00   41.00     3  talker
09:01:01 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     6  talker
09:01:02 AM  1000     53805   31.00   11.00    0.00    0.00   42.00    14  talker
09:01:03 AM  1000     53805   35.00    7.00    0.00    0.00   42.00     7  talker
09:01:04 AM  1000     53805   33.00    7.00    0.00    0.00   40.00    18  talker
09:01:05 AM  1000     53805   32.00   10.00    0.00    0.00   42.00     5  talker
09:01:06 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     6  talker
09:01:07 AM  1000     53805   35.00    6.00    0.00    0.00   41.00     1  talker
09:01:08 AM  1000     53805   33.00    9.00    0.00    0.00   42.00    12  talker
09:01:09 AM  1000     53805   33.00    8.00    0.00    0.00   41.00     9  talker
09:01:10 AM  1000     53805   35.00    7.00    0.00    0.00   42.00     0  talker
09:01:11 AM  1000     53805   34.00    9.00    0.00    0.00   43.00     2  talker
09:01:12 AM  1000     53805   32.00    8.00    0.00    0.00   40.00    18  talker
09:01:13 AM  1000     53805   36.00    7.00    0.00    0.00   43.00    20  talker
09:01:14 AM  1000     53805   34.00    9.00    0.00    0.00   43.00     6  talker
09:01:15 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     2  talker
09:01:16 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     2  talker
09:01:17 AM  1000     53805   32.00    9.00    0.00    0.00   41.00     5  talker
09:01:18 AM  1000     53805   34.00    9.00    0.00    0.00   43.00    11  talker
09:01:19 AM  1000     53805   34.00    7.00    0.00    0.00   41.00     8  talker
09:01:20 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     0  talker
09:01:21 AM  1000     53805   34.00    8.00    0.00    0.00   42.00    10  talker
09:01:22 AM  1000     53805   34.00    8.00    0.00    0.00   42.00     3  talker
09:01:23 AM  1000     53805   32.00    9.00    0.00    0.00   41.00     4  talker
09:01:24 AM  1000     53805   36.00    6.00    0.00    0.00   42.00    14  talker
09:01:25 AM  1000     53805   32.00    9.00    0.00    0.00   41.00    17  talker
09:01:26 AM  1000     53805   35.00    7.00    0.00    0.00   42.00     5  talker
09:01:27 AM  1000     53805   35.00    6.00    0.00    0.00   41.00    14  talker
09:01:28 AM  1000     53805   33.00    9.00    0.00    0.00   42.00    14  talker
09:01:29 AM  1000     53805   35.00    7.00    0.00    0.00   42.00     8  talker
09:01:30 AM  1000     53805   32.00   10.00    0.00    0.00   42.00    16  talker
09:01:31 AM  1000     53805   35.00    7.00    0.00    0.00   42.00     8  talker
09:01:32 AM  1000     53805   34.00    7.00    0.00    0.00   41.00     1  talker
09:01:33 AM  1000     53805   34.00    9.00    0.00    0.00   43.00     6  talker
09:01:34 AM  1000     53805   36.00    6.00    0.00    0.00   42.00     6  talker
09:01:35 AM  1000     53805   33.00    8.00    0.00    0.00   41.00     9  talker
09:01:36 AM  1000     53805   34.00    8.00    0.00    0.00   42.00     1  talker
09:01:37 AM  1000     53805   33.00   10.00    0.00    0.00   43.00     5  talker
09:01:38 AM  1000     53805   33.00    9.00    0.00    0.00   42.00    14  talker
09:01:39 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     2  talker
09:01:40 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     5  talker
09:01:41 AM  1000     53805   32.00   11.00    0.00    0.00   43.00     2  talker
09:01:42 AM  1000     53805   33.00    8.00    0.00    0.00   41.00    18  talker
09:01:43 AM  1000     53805   34.00    7.00    0.00    0.00   41.00     3  talker
09:01:44 AM  1000     53805   33.00    9.00    0.00    0.00   42.00     5  talker
Average:     1000     53805   32.45    9.35    0.00    0.00   41.80     -  talker
