Linux 6.5.0-44-generic (npc2408016) 	06/20/2025 	_x86_64_	(22 CPU)

09:09:32 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:09:33 AM  1000     55322   30.00   10.00    0.00    0.00   40.00    19  talker
09:09:34 AM  1000     55322   35.00    6.00    0.00    0.00   41.00     8  talker
09:09:35 AM  1000     55322   35.00    6.00    0.00    0.00   41.00     6  talker
09:09:36 AM  1000     55322   35.00    5.00    0.00    0.00   40.00     0  talker
09:09:37 AM  1000     55322   33.00    6.00    0.00    0.00   39.00     3  talker
09:09:38 AM  1000     55322   35.00    6.00    0.00    0.00   41.00    10  talker
09:09:39 AM  1000     55322   34.00    5.00    0.00    0.00   39.00     5  talker
09:09:40 AM  1000     55322   35.00    7.00    0.00    0.00   42.00    15  talker
09:09:41 AM  1000     55322   35.00    6.00    0.00    0.00   41.00    15  talker
09:09:42 AM  1000     55322   36.00    5.00    0.00    0.00   41.00    10  talker
09:09:43 AM  1000     55322   35.00    5.00    0.00    0.00   40.00    12  talker
09:09:44 AM  1000     55322   34.00    7.00    0.00    0.00   41.00    17  talker
09:09:45 AM  1000     55322   36.00    5.00    0.00    0.00   41.00    12  talker
09:09:46 AM  1000     55322   33.00    6.00    0.00    0.00   39.00     5  talker
09:09:47 AM  1000     55322   37.00    4.00    0.00    0.00   41.00     1  talker
09:09:48 AM  1000     55322   36.00    4.00    0.00    0.00   40.00    15  talker
09:09:49 AM  1000     55322   37.00    4.00    0.00    0.00   41.00     1  talker
09:09:50 AM  1000     55322   37.00    4.00    0.00    0.00   41.00     4  talker
09:09:51 AM  1000     55322   35.00    6.00    0.00    0.00   41.00    12  talker
09:09:52 AM  1000     55322   38.00    3.00    0.00    0.00   41.00    16  talker
09:09:53 AM  1000     55322   34.00    6.00    0.00    0.00   40.00    14  talker
09:09:54 AM  1000     55322   36.00    5.00    0.00    0.00   41.00     5  talker
09:09:55 AM  1000     55322   37.00    3.00    0.00    0.00   40.00    18  talker
09:09:56 AM  1000     55322   37.00    4.00    0.00    0.00   41.00     0  talker
09:09:57 AM  1000     55322   35.00    6.00    0.00    0.00   41.00     1  talker
09:09:58 AM  1000     55322   35.00    5.00    0.00    0.00   40.00     5  talker
09:09:59 AM  1000     55322   34.00    6.00    0.00    0.00   40.00     2  talker
09:10:00 AM  1000     55322   36.00    5.00    0.00    0.00   41.00    14  talker
09:10:01 AM  1000     55322   37.00    4.00    0.00    0.00   41.00    12  talker
09:10:02 AM  1000     55322   37.00    3.00    0.00    0.00   40.00    18  talker
09:10:03 AM  1000     55322   33.00    8.00    0.00    0.00   41.00    10  talker
09:10:04 AM  1000     55322   38.00    2.00    0.00    0.00   40.00     3  talker
09:10:05 AM  1000     55322   37.00    5.00    0.00    0.00   42.00    19  talker
09:10:06 AM  1000     55322   32.00    7.00    0.00    0.00   39.00     0  talker
09:10:07 AM  1000     55322   31.00    9.00    0.00    0.00   40.00     1  talker
09:10:08 AM  1000     55322   29.00   10.00    0.00    0.00   39.00     8  talker
09:10:09 AM  1000     55322   37.00    5.00    0.00    0.00   42.00     0  talker
09:10:10 AM  1000     55322   35.00    5.00    0.00    0.00   40.00    16  talker
09:10:11 AM  1000     55322   32.00    9.00    0.00    0.00   41.00    15  talker
09:10:12 AM  1000     55322   36.00    6.00    0.00    0.00   42.00     2  talker
09:10:13 AM  1000     55322   29.00   11.00    0.00    0.00   40.00    16  talker
09:10:14 AM  1000     55322   31.00    9.00    0.00    0.00   40.00    18  talker
09:10:15 AM  1000     55322   36.00    5.00    0.00    0.00   41.00    10  talker
09:10:16 AM  1000     55322   34.00    7.00    0.00    0.00   41.00    17  talker
09:10:17 AM  1000     55322   35.00    6.00    0.00    0.00   41.00     1  talker
09:10:18 AM  1000     55322   36.00    5.00    0.00    0.00   41.00     7  talker
09:10:19 AM  1000     55322   35.00    6.00    0.00    0.00   41.00     1  talker
09:10:20 AM  1000     55322   29.00   12.00    0.00    0.00   41.00    15  talker
09:10:21 AM  1000     55322   34.00    6.00    0.00    0.00   40.00     3  talker
09:10:22 AM  1000     55322   33.00    8.00    0.00    0.00   41.00    17  talker
09:10:23 AM  1000     55322   36.00    5.00    0.00    0.00   41.00    16  talker
09:10:24 AM  1000     55322   32.00    9.00    0.00    0.00   41.00    13  talker
09:10:25 AM  1000     55322   32.00    9.00    0.00    0.00   41.00     6  talker
09:10:26 AM  1000     55322   32.00    7.00    0.00    0.00   39.00    12  talker
09:10:27 AM  1000     55322   29.00   12.00    0.00    0.00   41.00    19  talker
09:10:28 AM  1000     55322   29.00   11.00    0.00    0.00   40.00    12  talker
09:10:29 AM  1000     55322   30.00   11.00    0.00    0.00   41.00     6  talker
09:10:30 AM  1000     55322   31.00   10.00    0.00    0.00   41.00    18  talker
09:10:31 AM  1000     55322   30.00   11.00    0.00    0.00   41.00     3  talker
09:10:32 AM  1000     55322   28.00   12.00    0.00    0.00   40.00    17  talker
Average:     1000     55322   34.00    6.58    0.00    0.00   40.58     -  talker
