Linux 6.5.0-44-generic (npc2408016) 	06/20/2025 	_x86_64_	(22 CPU)

09:17:53 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:17:54 AM  1000     56303   20.00    8.00    0.00    0.00   28.00     1  talker
09:17:55 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     1  talker
09:17:56 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     1  talker
09:17:57 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     1  talker
09:17:58 AM  1000     56303   20.00    7.00    0.00    0.00   27.00     1  talker
09:17:59 AM  1000     56303   18.00   10.00    0.00    0.00   28.00     1  talker
09:18:00 AM  1000     56303   19.00   10.00    0.00    0.00   29.00     4  talker
09:18:01 AM  1000     56303   22.00    5.00    0.00    0.00   27.00     1  talker
09:18:02 AM  1000     56303   20.00    8.00    0.00    0.00   28.00     3  talker
09:18:03 AM  1000     56303   18.00   10.00    0.00    0.00   28.00     3  talker
09:18:04 AM  1000     56303   17.00   10.00    0.00    0.00   27.00     1  talker
09:18:05 AM  1000     56303   23.00    5.00    0.00    0.00   28.00     1  talker
09:18:06 AM  1000     56303   19.00   10.00    0.00    0.00   29.00     1  talker
09:18:07 AM  1000     56303   24.00    4.00    0.00    0.00   28.00     1  talker
09:18:08 AM  1000     56303   20.79    5.94    0.00    0.00   26.73     1  talker
09:18:09 AM  1000     56303   24.00    4.00    0.00    0.00   28.00     1  talker
09:18:10 AM  1000     56303   24.00    4.00    0.00    0.00   28.00     1  talker
09:18:11 AM  1000     56303   23.00    5.00    0.00    0.00   28.00     1  talker
09:18:12 AM  1000     56303   24.00    4.00    0.00    0.00   28.00     1  talker
09:18:13 AM  1000     56303   23.00    5.00    0.00    0.00   28.00     1  talker
09:18:14 AM  1000     56303   22.00    5.00    0.00    0.00   27.00     1  talker
09:18:15 AM  1000     56303   23.00    5.00    0.00    0.00   28.00     1  talker
09:18:16 AM  1000     56303   23.00    5.00    0.00    0.00   28.00     1  talker
09:18:17 AM  1000     56303   25.00    3.00    0.00    0.00   28.00     1  talker
09:18:18 AM  1000     56303   19.00    8.00    0.00    0.00   27.00     1  talker
09:18:19 AM  1000     56303   23.00    6.00    0.00    0.00   29.00     1  talker
09:18:20 AM  1000     56303   23.00    5.00    0.00    0.00   28.00     1  talker
09:18:21 AM  1000     56303   20.00    8.00    0.00    0.00   28.00     1  talker
09:18:22 AM  1000     56303   20.00    7.00    0.00    0.00   27.00     1  talker
09:18:23 AM  1000     56303   20.00    8.00    0.00    0.00   28.00     1  talker
09:18:24 AM  1000     56303   18.00   10.00    0.00    0.00   28.00     1  talker
09:18:25 AM  1000     56303   20.00    8.00    0.00    0.00   28.00     1  talker
09:18:26 AM  1000     56303   18.00    9.00    0.00    0.00   27.00     3  talker
09:18:27 AM  1000     56303   19.00    9.00    0.00    0.00   28.00     3  talker
09:18:28 AM  1000     56303   21.00    7.00    0.00    0.00   28.00     3  talker
09:18:29 AM  1000     56303   18.00   10.00    0.00    0.00   28.00     3  talker
09:18:30 AM  1000     56303   19.00    9.00    0.00    0.00   28.00     3  talker
09:18:31 AM  1000     56303   19.00    9.00    0.00    0.00   28.00     3  talker
09:18:32 AM  1000     56303   23.00    4.00    0.00    0.00   27.00     1  talker
09:18:33 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     1  talker
09:18:34 AM  1000     56303   22.00    5.00    0.00    0.00   27.00     1  talker
09:18:35 AM  1000     56303   24.00    5.00    0.00    0.00   29.00     1  talker
09:18:36 AM  1000     56303   21.00    6.00    0.00    0.00   27.00     1  talker
09:18:37 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     1  talker
09:18:38 AM  1000     56303   20.00    7.00    0.00    0.00   27.00     3  talker
09:18:39 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     3  talker
09:18:40 AM  1000     56303   23.00    5.00    0.00    0.00   28.00     3  talker
09:18:41 AM  1000     56303   21.00    7.00    0.00    0.00   28.00    11  talker
09:18:42 AM  1000     56303   21.00    7.00    0.00    0.00   28.00    11  talker
09:18:43 AM  1000     56303   24.00    4.00    0.00    0.00   28.00     1  talker
09:18:44 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     1  talker
09:18:45 AM  1000     56303   21.00    6.00    0.00    0.00   27.00     1  talker
09:18:46 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     1  talker
09:18:47 AM  1000     56303   19.00    9.00    0.00    0.00   28.00     1  talker
09:18:48 AM  1000     56303   22.00    6.00    0.00    0.00   28.00     3  talker
09:18:49 AM  1000     56303   19.00    8.00    0.00    0.00   27.00     3  talker
09:18:50 AM  1000     56303   21.00    7.00    0.00    0.00   28.00     1  talker
09:18:51 AM  1000     56303   18.00   10.00    0.00    0.00   28.00     2  talker
09:18:52 AM  1000     56303   20.00    8.00    0.00    0.00   28.00     3  talker
09:18:53 AM  1000     56303   20.00    8.00    0.00    0.00   28.00    14  talker
Average:     1000     56303   21.06    6.77    0.00    0.00   27.83     -  talker
