Linux 6.5.0-44-generic (npc2408016) 	06/18/2025 	_x86_64_	(22 CPU)

10:09:12 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:09:13 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     2  talker
10:09:14 AM  1000     22856    6.00    1.00    0.00    0.00    7.00     3  talker
10:09:15 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     5  talker
10:09:16 AM  1000     22856    5.00    3.00    0.00    0.00    8.00    19  talker
10:09:17 AM  1000     22856    4.00    4.00    0.00    0.00    8.00    11  talker
10:09:18 AM  1000     22856    4.00    2.00    0.00    0.00    6.00    16  talker
10:09:19 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     8  talker
10:09:20 AM  1000     22856    5.00    3.00    0.00    0.00    8.00     7  talker
10:09:21 AM  1000     22856    6.00    1.00    0.00    0.00    7.00     5  talker
10:09:22 AM  1000     22856    5.00    2.00    0.00    0.00    7.00    18  talker
10:09:23 AM  1000     22856    5.00    3.00    0.00    0.00    8.00     0  talker
10:09:24 AM  1000     22856    5.00    3.00    0.00    0.00    8.00     1  talker
10:09:25 AM  1000     22856    6.00    2.00    0.00    0.00    8.00    12  talker
10:09:26 AM  1000     22856    6.00    2.00    0.00    0.00    8.00    12  talker
10:09:27 AM  1000     22856    6.00    3.00    0.00    0.00    9.00     8  talker
10:09:28 AM  1000     22856    5.00    1.00    0.00    0.00    6.00    18  talker
10:09:29 AM  1000     22856    5.00    3.00    0.00    0.00    8.00    10  talker
10:09:30 AM  1000     22856    5.00    3.00    0.00    0.00    8.00     6  talker
10:09:31 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     1  talker
10:09:32 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     1  talker
10:09:33 AM  1000     22856    5.00    3.00    0.00    0.00    8.00    17  talker
10:09:34 AM  1000     22856    6.00    1.00    0.00    0.00    7.00    17  talker
10:09:35 AM  1000     22856    4.00    3.00    0.00    0.00    7.00    10  talker
10:09:36 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     4  talker
10:09:37 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     8  talker
10:09:38 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     2  talker
10:09:39 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     2  talker
10:09:40 AM  1000     22856    6.00    1.00    0.00    0.00    7.00     2  talker
10:09:41 AM  1000     22856    3.00    4.00    0.00    0.00    7.00    12  talker
10:09:42 AM  1000     22856    6.00    2.00    0.00    0.00    8.00    18  talker
10:09:43 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     2  talker
10:09:44 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     2  talker
10:09:45 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     2  talker
10:09:46 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     7  talker
10:09:47 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     6  talker
10:09:48 AM  1000     22856    5.00    3.00    0.00    0.00    8.00     1  talker
10:09:49 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     6  talker
10:09:50 AM  1000     22856    6.00    2.00    0.00    0.00    8.00    13  talker
10:09:51 AM  1000     22856    6.00    2.00    0.00    0.00    8.00    10  talker
10:09:52 AM  1000     22856    7.00    1.00    0.00    0.00    8.00     8  talker
10:09:53 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     0  talker
10:09:54 AM  1000     22856    5.00    2.00    0.00    0.00    7.00    18  talker
10:09:55 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     6  talker
10:09:56 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     1  talker
10:09:57 AM  1000     22856    5.00    2.00    0.00    0.00    7.00    13  talker
10:09:58 AM  1000     22856    6.00    1.00    0.00    0.00    7.00     1  talker
10:09:59 AM  1000     22856    6.00    2.00    0.00    0.00    8.00    10  talker
10:10:00 AM  1000     22856    4.00    3.00    0.00    0.00    7.00    15  talker
10:10:01 AM  1000     22856    6.00    1.00    0.00    0.00    7.00    10  talker
10:10:02 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     6  talker
10:10:03 AM  1000     22856    6.00    1.00    0.00    0.00    7.00     6  talker
10:10:04 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     1  talker
10:10:05 AM  1000     22856    5.00    3.00    0.00    0.00    8.00    12  talker
10:10:06 AM  1000     22856    5.00    2.00    0.00    0.00    7.00     8  talker
10:10:07 AM  1000     22856    6.00    1.00    0.00    0.00    7.00     8  talker
10:10:08 AM  1000     22856    5.00    3.00    0.00    0.00    8.00    10  talker
10:10:09 AM  1000     22856    5.00    4.00    0.00    0.00    9.00     0  talker
10:10:10 AM  1000     22856    5.00    1.00    0.00    0.00    6.00    12  talker
10:10:11 AM  1000     22856    4.00    3.00    0.00    0.00    7.00    13  talker
10:10:12 AM  1000     22856    6.00    2.00    0.00    0.00    8.00     1  talker
Average:     1000     22856    5.35    2.15    0.00    0.00    7.50     -  talker
