Linux 6.5.0-44-generic (npc2408016) 	07/01/2025 	_x86_64_	(22 CPU)

12:09:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:09:46 PM  1000     33667    1.00    1.00    0.00    0.00    2.00    16  listener
12:09:46 PM  1000     33669    1.00    1.00    0.00    0.00    2.00    14  listener
12:09:46 PM  1000     33671    1.00    0.00    0.00    0.00    1.00    10  listener
12:09:46 PM  1000     33673    0.00    2.00    0.00    0.00    2.00     7  listener
12:09:46 PM  1000     33675    0.00    1.00    0.00    0.00    1.00     3  listener
12:09:46 PM  1000     33677    0.00    2.00    0.00    0.00    2.00     4  listener
12:09:46 PM  1000     33679    1.00    1.00    0.00    0.00    2.00     9  listener
12:09:46 PM  1000     33681    0.00    1.00    0.00    0.00    1.00     5  listener
12:09:46 PM  1000     33683    1.00    0.00    0.00    0.00    1.00    20  listener
12:09:46 PM  1000     33685    0.00    1.00    0.00    0.00    1.00    13  listener
12:09:46 PM  1000     33687    1.00    0.00    0.00    0.00    1.00     9  listener
12:09:46 PM  1000     33689    0.00    2.00    0.00    0.00    2.00    17  listener
12:09:46 PM  1000     33692    0.00    1.00    0.00    0.00    1.00     8  listener
12:09:46 PM  1000     33702    1.00    1.00    0.00    0.00    2.00     0  listener
12:09:46 PM  1000     33704    0.00    2.00    0.00    0.00    2.00    19  listener
12:09:46 PM  1000     33706    1.00    0.00    0.00    0.00    1.00     5  listener
12:09:46 PM  1000     33711    1.00    0.00    0.00    0.00    1.00     7  listener
12:09:46 PM  1000     33797    1.00    0.00    0.00    0.00    1.00     6  listener
12:09:46 PM  1000     33882    0.00    2.00    0.00    0.00    2.00     6  listener
12:09:46 PM  1000     33885    0.00    2.00    0.00    0.00    2.00    17  listener
12:09:46 PM  1000     33903    1.00    1.00    0.00    0.00    2.00    10  listener
12:09:46 PM  1000     33970    1.00    1.00    0.00    0.00    2.00    16  listener
12:09:46 PM  1000     33972    1.00    0.00    0.00    0.00    1.00    14  listener
12:09:46 PM  1000     33974    0.00    1.00    0.00    0.00    1.00     9  listener
12:09:46 PM  1000     34012    1.00    1.00    0.00    0.00    2.00     8  listener
12:09:46 PM  1000     34041    1.00    1.00    0.00    0.00    2.00     0  listener
12:09:46 PM  1000     34070    1.00    0.00    0.00    0.00    1.00    16  listener
12:09:46 PM  1000     34081    0.00    1.00    0.00    0.00    1.00    12  listener
12:09:46 PM  1000     34092    1.00    1.00    0.00    0.00    2.00    19  listener
12:09:46 PM  1000     34094    2.00    1.00    0.00    0.00    3.00    17  listener
12:09:46 PM  1000     34096    0.00    1.00    0.00    0.00    1.00    16  listener
12:09:46 PM  1000     34098    1.00    1.00    0.00    0.00    2.00     1  listener
12:09:46 PM  1000     34100    1.00    1.00    0.00    0.00    2.00     9  listener
12:09:46 PM  1000     34129    1.00    1.00    0.00    0.00    2.00    19  listener
12:09:46 PM  1000     34184    1.00    1.00    0.00    0.00    2.00     1  listener
12:09:46 PM  1000     34241    1.00    1.00    0.00    0.00    2.00     7  listener
12:09:46 PM  1000     34261    1.00    1.00    0.00    0.00    2.00    12  listener
12:09:46 PM  1000     34281    1.00    2.00    0.00    0.00    3.00     9  listener
12:09:46 PM  1000     34318    0.00    2.00    0.00    0.00    2.00    16  listener
12:09:46 PM  1000     34348    1.00    1.00    0.00    0.00    2.00     8  listener
12:09:46 PM  1000     34377    2.00    0.00    0.00    0.00    2.00     2  listener
