Linux 6.5.0-44-generic (npc2408016) 	06/13/2025 	_x86_64_	(22 CPU)

10:34:32 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:34:33 AM  1000     20028   31.00    5.00    0.00    0.00   36.00    16  talker
10:34:34 AM  1000     20028   32.00    1.00    0.00    0.00   33.00    12  talker
10:34:35 AM  1000     20028   32.00    4.00    0.00    0.00   36.00    12  talker
10:34:36 AM  1000     20028   34.00    2.00    0.00    0.00   36.00     8  talker
10:34:37 AM  1000     20028   36.00    1.00    0.00    0.00   37.00    12  talker
10:34:38 AM  1000     20028   31.00    4.00    0.00    0.00   35.00    15  talker
10:34:39 AM  1000     20028   30.00    5.00    0.00    0.00   35.00    13  talker
10:34:40 AM  1000     20028   31.00    4.00    0.00    0.00   35.00    14  talker
10:34:41 AM  1000     20028   27.00    8.00    0.00    0.00   35.00     3  talker
10:34:42 AM  1000     20028   29.00    7.00    0.00    0.00   36.00    15  talker
10:34:43 AM  1000     20028   29.00    6.00    0.00    0.00   35.00    14  talker
10:34:44 AM  1000     20028   32.00    4.00    0.00    0.00   36.00     7  talker
10:34:45 AM  1000     20028   25.00   11.00    0.00    0.00   36.00    17  talker
10:34:46 AM  1000     20028   22.00   12.00    0.00    0.00   34.00    11  talker
10:34:47 AM  1000     20028   24.00   13.00    0.00    0.00   37.00     8  talker
10:34:48 AM  1000     20028   29.00    6.00    0.00    0.00   35.00     8  talker
10:34:49 AM  1000     20028   26.00    9.00    0.00    0.00   35.00    10  talker
10:34:50 AM  1000     20028   28.00    7.00    0.00    0.00   35.00    14  talker
10:34:51 AM  1000     20028   32.00    4.00    0.00    0.00   36.00     9  talker
10:34:52 AM  1000     20028   24.00   12.00    0.00    0.00   36.00    17  talker
10:34:53 AM  1000     20028   32.00    4.00    0.00    0.00   36.00     0  talker
10:34:54 AM  1000     20028   27.00    8.00    0.00    0.00   35.00    13  talker
10:34:55 AM  1000     20028   32.00    4.00    0.00    0.00   36.00    15  talker
10:34:56 AM  1000     20028   29.00    6.00    0.00    0.00   35.00    11  talker
10:34:57 AM  1000     20028   30.00    6.00    0.00    0.00   36.00    12  talker
10:34:58 AM  1000     20028   29.00    7.00    0.00    0.00   36.00     8  talker
10:34:59 AM  1000     20028   27.00    9.00    0.00    0.00   36.00    13  talker
10:35:00 AM  1000     20028   25.00   10.00    0.00    0.00   35.00     2  talker
10:35:01 AM  1000     20028   30.00    6.00    0.00    0.00   36.00    12  talker
10:35:02 AM  1000     20028   20.00   15.00    0.00    0.00   35.00     7  talker
10:35:03 AM  1000     20028   28.00    9.00    0.00    0.00   37.00     8  talker
10:35:04 AM  1000     20028   26.00    9.00    0.00    0.00   35.00    15  talker
10:35:05 AM  1000     20028   24.00   11.00    0.00    0.00   35.00     0  talker
10:35:06 AM  1000     20028   23.00   12.00    0.00    0.00   35.00    18  talker
10:35:07 AM  1000     20028   27.00    9.00    0.00    0.00   36.00    12  talker
10:35:08 AM  1000     20028   27.00    9.00    0.00    0.00   36.00     8  talker
10:35:09 AM  1000     20028   20.00   16.00    0.00    0.00   36.00     6  talker
10:35:10 AM  1000     20028   20.00   15.00    0.00    0.00   35.00     6  talker
10:35:11 AM  1000     20028   18.00   17.00    0.00    0.00   35.00     2  talker
10:35:12 AM  1000     20028   17.00   18.00    0.00    0.00   35.00     6  talker
10:35:13 AM  1000     20028   18.00   18.00    0.00    0.00   36.00     7  talker
10:35:14 AM  1000     20028   12.00   23.00    0.00    0.00   35.00     8  talker
10:35:15 AM  1000     20028   12.00   23.00    0.00    0.00   35.00    12  talker
10:35:16 AM  1000     20028   10.00   26.00    0.00    0.00   36.00     6  talker
10:35:17 AM  1000     20028   12.00   23.00    0.00    0.00   35.00    20  talker
10:35:18 AM  1000     20028   12.00   24.00    0.00    0.00   36.00    12  talker
10:35:19 AM  1000     20028   12.00   24.00    0.00    0.00   36.00     2  talker
10:35:20 AM  1000     20028   10.00   26.00    0.00    0.00   36.00     2  talker
10:35:21 AM  1000     20028   10.00   25.00    0.00    0.00   35.00    20  talker
10:35:22 AM  1000     20028    4.00   32.00    0.00    0.00   36.00     4  talker
10:35:23 AM  1000     20028   11.00   25.00    0.00    0.00   36.00     0  talker
10:35:24 AM  1000     20028   13.00   23.00    0.00    0.00   36.00    15  talker
10:35:25 AM  1000     20028   16.00   19.00    0.00    0.00   35.00    12  talker
10:35:26 AM  1000     20028   13.00   23.00    0.00    0.00   36.00     6  talker
10:35:27 AM  1000     20028   12.00   24.00    0.00    0.00   36.00     8  talker
10:35:28 AM  1000     20028   17.00   18.00    0.00    0.00   35.00     6  talker
10:35:29 AM  1000     20028   21.00   15.00    0.00    0.00   36.00    18  talker
10:35:30 AM  1000     20028   23.00   12.00    0.00    0.00   35.00    17  talker
10:35:31 AM  1000     20028   22.00   13.00    0.00    0.00   35.00    10  talker
10:35:32 AM  1000     20028   25.00   10.00    0.00    0.00   35.00    17  talker
Average:     1000     20028   23.00   12.52    0.00    0.00   35.52     -  talker
